N	2gram	Losev_Vlad_3	Literetu
1	а не	8	20
2	и в	40	19
3	может быть	8	17
4	то же	4	12
5	и не	25	11
6	в том	18	10
7	как и	7	10
8	но и	18	10
9	же время	2	9
10	такого рода	4	9
11	не может	14	9
12	в мире	2	9
13	в этом	16	9
14	в то	7	9
15	с другой	5	8
16	не только	25	8
17	и даже	6	8
18	том что	18	7
19	то что	28	7
20	так и	6	7
21	с одной	3	7
22	не менее	9	6
23	в себе	9	6
24	одной стороны	3	6
25	при этом	3	6
26	и на	6	6
27	я не	3	5
28	у нас	5	5
29	но не	4	5
30	в качестве	3	5
31	он не	8	5
32	вместе с	7	5
33	в году	10	5
34	того что	7	5
35	то есть	24	5
36	что в	17	4
37	тех кто	3	4
38	прежде всего	10	4
39	не в	3	4
40	отнюдь не	5	4
41	того же	2	4
42	для него	8	4
43	в ней	5	4
44	в его	14	4
45	еще в	5	4
46	даже в	4	4
47	так что	14	4
48	другой стороны	2	4
49	мы не	2	4
50	тем что	5	4
51	точки зрения	13	4
52	едва ли	11	4
53	никогда не	11	3
54	что он	5	3
55	в нем	3	3
56	по существу	4	3
57	и как	7	3
58	но это	6	3
59	в начале	2	3
60	такой же	4	3
61	в этой	8	3
62	в сущности	2	3
63	не с	4	3
64	данном случае	2	3
65	со стороны	2	3
66	себе и	2	3
67	а именно	12	3
68	в их	2	3
69	то и	2	3
70	поскольку в	3	3
71	и для	3	3
72	этом отношении	2	3
73	так как	7	3
74	но с	2	3
75	всех своих	2	3
76	тем самым	2	3
77	с точки	6	3
78	как на	3	3
79	а в	7	3
80	и его	10	3
81	и то	9	3
82	не столько	3	3
83	и с	9	3
84	всей своей	2	3
85	в данном	5	3
86	в другом	2	3
87	ничего не	5	3
88	уже в	3	2
89	не было	5	2
90	же как	3	2
91	с тем	7	2
92	у него	24	2
93	в нашем	2	2
94	не является	2	2
95	в какой	2	2
96	с этой	2	2
97	в конце	12	2
98	в виду	3	2
99	в одном	5	2
100	в жизни	2	2
101	вовсе не	13	2
102	и к	2	2
103	а также	8	2
104	для нас	5	2
105	тем не	10	2
106	одно и	2	2
107	до конца	4	2
108	еще не	4	2
109	было бы	4	2
110	не так	3	2
111	одной из	2	2
112	жизни а	2	2
113	нам представляется	2	2
114	свидетельствует о	2	2
115	как бы	3	2
116	не вполне	2	2
117	был бы	3	2
118	для себя	5	2
119	что и	7	2
120	все же	4	2
121	но уже	2	2
122	же в	3	2
123	в целом	2	2
124	не к	2	2
125	из них	2	2
126	то как	3	2
127	по преимуществу	2	2
128	и за	2	2
129	в истории	5	2
130	я вижу	2	2
131	при всем	2	2
132	как раз	10	2
133	свое существование	2	2
134	и только	3	2
135	к своему	2	2
136	но только	2	2
137	на первом	3	2
138	уже не	9	2
139	путь к	2	2
140	и что	8	2
141	для того	2	2
142	и наконец	2	2
143	и выше	2	2
144	хотя бы	6	2
145	в сравнении	2	2
146	друг друга	2	2
147	сравнении с	2	2
148	в своих	7	2
149	то в	6	2
150	в результате	4	2
151	потому что	11	2
152	даже и	12	2
153	на себя	2	2
154	под названием	9	2
155	и еще	2	2
156	но как	2	2
157	о том	11	2
158	в россии	3	2
159	к этой	2	2
160	а если	2	2
161	как это	4	2
162	могло бы	2	2
163	но в	4	2
