N	2gram	Bakhtin_Pr_1	DiskursI
1	в себе	5	19
2	при этом	3	17
3	и в	23	16
4	может быть	21	16
5	как и	8	16
6	в этом	25	16
7	и не	34	15
8	а не	20	14
9	и т.п	3	12
10	в отличие	2	12
11	отличие от	2	12
12	то есть	24	12
13	в мире	7	11
14	но и	11	11
15	но в	4	11
16	том что	9	10
17	не только	13	10
18	со стороны	2	10
19	так и	10	9
20	не может	11	9
21	в том	11	8
22	как в	6	8
23	в рамках	2	7
24	прежде всего	7	7
25	в нем	20	7
26	ни в	3	7
27	но не	8	7
28	в данном	2	7
29	с его	6	6
30	себя в	3	6
31	еще не	5	6
32	все же	5	6
33	в своей	11	6
34	данном случае	2	6
35	то же	10	6
36	в своих	2	6
37	в противоположность	3	5
38	что в	8	5
39	в своем	8	5
40	с другой	2	5
41	же время	7	5
42	для него	15	5
43	героя в	4	5
44	то что	18	5
45	и на	10	5
46	в то	10	5
47	в одном	9	4
48	к этому	2	4
49	в пределах	9	4
50	как бы	28	4
51	отношению к	11	4
52	по отношению	11	4
53	этом отношении	5	4
54	человека в	5	4
55	роль в	2	4
56	потому что	12	4
57	в основе	5	4
58	точки зрения	21	4
59	в этой	4	4
60	о том	2	4
61	мира и	7	4
62	перед нами	4	3
63	в этих	2	3
64	в них	3	3
65	это не	10	3
66	не столько	3	3
67	из этих	2	3
68	и все	3	3
69	мире в	3	3
70	уже не	8	3
71	и как	8	3
72	не в	6	3
73	можно сказать	2	3
74	например в	3	3
75	он не	4	3
76	в его	24	3
77	в котором	2	3
78	из них	2	3
79	жизни и	6	3
80	жизни а	2	3
81	приводит к	3	3
82	не было	3	3
83	все эти	8	3
84	и наконец	5	3
85	как на	2	3
86	и его	13	3
87	но это	5	3
88	как будто	3	3
89	только в	8	3
90	его в	4	3
91	в творчестве	5	3
92	одном из	2	3
93	мира в	6	3
94	никогда не	5	2
95	и одновременно	3	2
96	в большинстве	2	2
97	в целом	4	2
98	это в	2	2
99	личности в	4	2
100	идет о	3	2
101	в той	6	2
102	что он	10	2
103	является не	3	2
104	есть в	3	2
105	должна быть	2	2
106	с их	5	2
107	со своим	3	2
108	отношения между	2	2
109	для себя	2	2
110	что и	5	2
111	с ее	2	2
112	с точки	15	2
113	вместе с	2	2
114	человеческой жизни	2	2
115	не на	3	2
116	входит в	2	2
117	именно в	6	2
118	на языке	2	2
119	по преимуществу	3	2
120	себе самому	3	2
121	в себя	3	2
122	все это	7	2
123	другой стороны	2	2
124	романа и	4	2
125	и для	3	2
126	а в	7	2
127	той же	6	2
128	тому как	3	2
129	совпадает с	2	2
130	в результате	4	2
131	их в	2	2
132	и с	4	2
133	подобно тому	3	2
134	говорить о	2	2
135	и это	5	2
136	в области	3	2
137	между тем	5	2
