N	2gram	Ircho_Kome_3	FransuaR
1	и в	22	40
2	и его	6	17
3	прежде всего	5	16
4	в этом	8	15
5	не только	5	13
6	и не	21	13
7	в его	8	13
8	что в	5	12
9	вовсе не	4	12
10	как и	3	11
11	но и	4	11
12	таким образом	12	10
13	как мы	2	10
14	в них	3	9
15	и все	2	9
16	в сущности	2	9
17	может быть	6	9
18	он не	5	9
19	во время	6	8
20	отношение к	5	8
21	в том	12	8
22	у него	4	8
23	в эпоху	2	8
24	и с	4	8
25	и на	2	8
26	но в	5	8
27	в своем	8	7
28	в одном	2	7
29	до нас	4	7
30	то же	7	7
31	он и	2	7
32	в виду	2	7
33	к этому	6	6
34	же время	5	6
35	в самом	9	6
36	во всех	2	6
37	в своей	5	6
38	связи с	5	6
39	в то	6	6
40	до конца	4	6
41	он говорит	2	6
42	здесь и	2	5
43	как раз	6	5
44	в нем	3	5
45	то что	4	5
46	в связи	4	5
47	не было	2	5
48	а не	4	5
49	и для	4	5
50	в основе	2	5
51	в своих	2	5
52	и во	2	4
53	том что	13	4
54	до сих	9	4
55	было бы	3	4
56	в ней	4	4
57	из них	5	4
58	а также	2	4
59	ни в	10	4
60	один из	3	4
61	в мире	2	4
62	сих пор	9	4
63	в их	2	4
64	все это	5	4
65	роль в	2	4
66	о том	8	4
67	и о	2	4
68	того чтобы	6	4
69	и даже	3	4
70	из всех	2	4
71	и здесь	4	4
72	видно что	2	4
73	так как	11	4
74	в области	2	4
75	только для	2	3
76	с его	3	3
77	если бы	8	3
78	в частности	3	3
79	для понимания	2	3
80	и к	3	3
81	об этом	7	3
82	он был	4	3
83	в ее	3	3
84	в начале	3	3
85	в этой	3	3
86	еще не	6	3
87	вплоть до	2	3
88	как бы	3	3
89	что и	8	3
90	и мысли	3	3
91	вместе с	9	3
92	дело не	2	3
93	так и	4	3
94	как в	2	3
95	по отношению	5	3
96	не может	3	3
97	а в	7	3
98	самом деле	6	3
99	для того	6	3
100	между ними	2	3
101	к этой	2	3
102	не так	3	3
103	человеческой натуры	2	3
104	но все	4	3
105	можно было	2	3
106	между тем	2	3
107	тем что	5	3
108	при этом	7	3
109	нуждается в	2	3
110	в себе	4	3
111	в другом	2	3
112	в конце	7	3
113	здесь не	2	3
114	их в	3	3
115	отличие от	2	3
116	в других	3	3
117	не менее	5	2
118	уже в	2	2
119	представление о	2	2
120	до того	2	2
121	ему не	3	2
122	о чем	7	2
123	сравнению с	2	2
124	хотя бы	4	2
125	в течение	3	2
126	с другой	4	2
127	это не	2	2
128	больше чем	2	2
129	одного из	3	2
130	это в	2	2
131	что он	8	2
132	мы знаем	2	2
133	все же	4	2
134	все что	3	2
135	конечно не	3	2
136	и сам	5	2
137	и если	2	2
138	тут же	4	2
139	на его	2	2
140	к нему	5	2
141	одним из	2	2
142	из этого	2	2
143	ни одной	2	2
144	в котором	2	2
145	здесь нет	4	2
146	раз в	2	2
147	отношению к	3	2
148	в целом	3	2
149	который в	3	2
150	этом отношении	2	2
151	на них	3	2
152	с помощью	4	2
153	из этой	2	2
154	тем же	3	2
155	что для	2	2
156	потому что	10	2
157	одной из	3	2
158	нового времени	2	2
159	с этим	3	2
160	точки зрения	4	2
161	и ее	2	2
162	и еще	3	2
163	по сравнению	2	2
164	далеко не	3	2
165	как он	3	2
166	и это	2	2
167	в которой	3	2
168	того же	6	2
169	мы не	2	2
