N	2gram	Bakhtin_Fr_4	Tragedij
1	и в	29	18
2	в романе	10	10
3	в году	3	9
4	в этом	11	9
5	не только	10	8
6	и не	16	7
7	и на	11	7
8	и с	9	7
9	может быть	2	7
10	как бы	8	7
11	в образе	4	6
12	что он	4	6
13	и его	8	6
14	же время	8	6
15	у него	5	6
16	но в	12	6
17	все же	3	5
18	что это	5	5
19	так и	11	5
20	это не	5	5
21	не может	2	5
22	то же	10	5
23	в дальнейшем	3	5
24	как и	12	5
25	в то	10	5
26	но и	9	4
27	то что	4	4
28	все это	4	4
29	прежде всего	8	4
30	и все	13	4
31	в нем	5	4
32	и даже	3	4
33	так же	7	4
34	том что	3	4
35	но это	4	4
36	в этой	13	4
37	что я	2	4
38	в себе	3	4
39	еще не	4	4
40	этот образ	4	4
41	уже в	2	3
42	один из	4	3
43	с ее	3	3
44	что образ	3	3
45	о чем	2	3
46	в своем	3	3
47	в конце	9	3
48	как в	2	3
49	все эти	9	3
50	жизнь и	4	3
51	и как	3	3
52	к нему	3	3
53	эпизод с	2	3
54	в его	8	3
55	при этом	3	3
56	и сам	3	3
57	своего рода	6	3
58	как будто	2	3
59	с ним	2	3
60	то есть	21	3
61	это был	2	2
62	перед нами	4	2
63	и до	5	2
64	но они	4	2
65	в частности	3	2
66	и за	3	2
67	в известной	3	2
68	а как	2	2
69	уже не	2	2
70	с его	4	2
71	к тому	2	2
72	о его	2	2
73	и здесь	3	2
74	ни в	2	2
75	он был	2	2
76	в ее	3	2
77	в том	7	2
78	до конца	5	2
79	друг друга	2	2
80	и то	2	2
81	не случайно	3	2
82	тем что	4	2
83	он и	5	2
84	еще раз	2	2
85	было в	2	2
86	о том	2	2
87	его в	9	2
88	и это	2	2
89	и детей	2	2
90	не мог	2	2
91	он не	3	2
92	никогда не	2	2
