N	2gram	Losev_Dial_3	TeoriaLi
1	– это	6	20
2	не только	23	18
3	и не	27	16
4	– в	6	14
5	а в	2	14
6	в частности	2	13
7	и в	24	13
8	может быть	13	12
9	так и	5	12
10	при этом	2	11
11	в этом	8	11
12	в том	5	11
13	но не	2	10
14	а не	26	10
15	и его	5	10
16	в его	2	9
17	то же	6	9
18	что в	7	8
19	но и	9	8
20	себя в	2	7
21	в себе	2	7
22	том что	8	7
23	в данном	2	7
24	точки зрения	25	7
25	в то	5	7
26	только в	5	7
27	как это	5	7
28	с его	2	6
29	же время	3	6
30	еще не	2	6
31	как бы	3	6
32	но в	2	6
33	в своем	3	5
34	или иного	2	5
35	или иной	4	5
36	как и	7	5
37	не в	3	5
38	в самом	7	5
39	того или	3	5
40	в нем	3	5
41	он не	5	5
42	уже не	5	5
43	тем самым	3	5
44	с другой	4	5
45	личности и	5	4
46	не менее	11	4
47	личности в	2	4
48	ни в	9	4
49	субъекта и	4	4
50	то что	14	4
51	в их	2	4
52	не может	19	4
53	в слове	3	4
54	сказать что	4	4
55	хотя и	5	4
56	и ее	3	4
57	говорить о	4	4
58	не знает	3	4
59	мира и	3	4
60	ни к	3	3
61	перед нами	3	3
62	никогда не	7	3
63	он должен	3	3
64	прежде всего	8	3
65	и к	5	3
66	тем не	10	3
67	для него	4	3
68	того что	12	3
69	например в	2	3
70	и –	6	3
71	той или	2	3
72	и потому	2	3
73	– не	7	3
74	другой стороны	2	3
75	как раз	7	3
76	так в	2	3
77	таким образом	13	3
78	именно в	2	3
79	и вот	2	3
80	и что	15	3
81	и по	2	3
82	– все	3	3
83	или в	2	3
84	о ней	2	3
85	и то	4	3
86	потому что	7	3
87	нового времени	2	3
88	в основе	3	3
89	что можно	2	3
90	все эти	3	3
91	я не	6	2
92	сама по	4	2
93	но на	2	2
94	только не	10	2
95	если бы	6	2
96	была бы	3	2
97	могут быть	2	2
98	за пределы	3	2
99	себя и	2	2
100	это не	4	2
101	о себе	2	2
102	но –	5	2
103	вовсе не	13	2
104	по себе	20	2
105	что он	13	2
106	к тому	4	2
107	об этом	6	2
108	при условии	3	2
109	но как	2	2
110	и как	8	2
111	– и	4	2
112	особого рода	3	2
113	одной стороны	3	2
114	одно и	5	2
115	и больше	4	2
116	для такого	2	2
117	из которых	3	2
118	– еще	2	2
119	в виду	7	2
120	так или	2	2
121	субъект и	2	2
122	и тем	2	2
123	к нему	3	2
124	но она	3	2
125	со стороны	2	2
126	а именно	2	2
127	не на	6	2
128	собственно говоря	4	2
129	и для	2	2
130	– как	3	2
131	с одной	3	2
132	от себя	4	2
133	это и	7	2
134	тех или	2	2
135	и о	3	2
136	с точки	14	2
137	и даже	13	2
138	и притом	5	2
139	так же	4	2
140	или иначе	2	2
141	тот или	2	2
142	и мира	4	2
143	их в	2	2
144	у него	2	2
145	на себя	3	2
146	и здесь	2	2
147	о том	6	2
148	и это	4	2
149	в чем	4	2
150	я и	2	2
151	это было	3	2
