N	3gram	Potebnia_M_2	Psycholo
1	и т п	3	15
2	в том что	7	9
3	и т д	3	8
4	с таким образом	2	8
5	на то что	3	8
6	не может быть	2	8
7	во всяком случае	7	6
8	в то время	4	5
9	с одной стороны	3	5
10	само по себе	2	5
11	с другой стороны	2	5
12	подобно тому как	4	5
13	не в том	2	5
14	то время как	3	5
15	для того чтобы	2	5
16	только тогда когда	2	4
17	не в состоянии	4	3
18	до сих пор	4	3
19	не было бы	4	2
20	мы не можем	3	2
21	так и в	2	2
22	смысле этого слова	3	2
23	более или менее	8	2
24	в таком случае	2	2
25	по себе не	3	2
26	тем не менее	5	2
27	от того что	4	2
28	сама по себе	2	2
29	в этом смысле	2	2
30	на самом деле	2	2
