N	2gram	Tiupa_Anal_3	Istorich
1	и в	18	26
2	то что	2	16
3	не только	22	15
4	что в	9	14
5	может быть	9	14
6	но и	13	12
7	связь с	2	12
8	власть над	2	11
9	что он	4	10
10	так и	14	10
11	таким образом	4	10
12	и его	13	10
13	что и	5	9
14	все же	4	9
15	и не	12	9
16	его в	3	9
17	то же	3	8
18	а в	10	8
19	об этом	2	7
20	как и	14	7
21	в качестве	12	7
22	он не	6	7
23	как в	3	7
24	в этом	14	7
25	мы имеем	5	7
26	не всегда	3	6
27	в дальнейшем	2	6
28	что они	3	6
29	еще не	6	6
30	в иной	2	6
31	когда он	2	6
32	вместе с	2	6
33	не может	2	6
34	а не	9	6
35	мы можем	2	6
36	могут быть	2	6
37	и как	4	5
38	это не	2	5
39	в одном	4	5
40	к этому	3	5
41	это и	2	5
42	но не	7	5
43	ничего не	3	5
44	в его	7	5
45	уже не	5	5
46	и по	2	5
47	не в	6	5
48	тем что	2	5
49	и здесь	2	5
50	но в	2	5
51	с другой	7	4
52	на себя	2	4
53	в тех	2	4
54	указывает на	3	4
55	даже в	2	4
56	другой стороны	5	4
57	с появлением	2	4
58	так в	3	4
59	здесь не	3	4
60	тогда как	20	4
61	и даже	8	4
62	о том	6	4
63	перед нами	4	3
64	из этих	3	3
65	же в	2	3
66	в том	9	3
67	том что	12	3
68	во всем	3	3
69	при этом	11	3
70	например в	2	3
71	на его	2	3
72	как бы	10	3
73	все эти	2	3
74	а также	2	3
75	и он	2	3
76	данном случае	3	3
77	что она	2	3
78	как это	3	3
79	те же	2	3
80	не мог	2	3
81	в данном	4	3
82	что мы	2	3
83	только в	2	3
84	в русской	7	3
85	там где	2	3
86	о чем	4	3
87	уже в	3	2
88	с тем	2	2
89	не менее	4	2
90	никогда не	5	2
91	однако в	5	2
92	в своем	4	2
93	с этим	3	2
94	и все	2	2
95	по себе	4	2
96	тем не	2	2
97	его как	3	2
98	говорит о	2	2
99	представляет собой	5	2
100	одна из	2	2
101	было бы	3	2
102	такого рода	5	2
103	в частности	12	2
104	видеть в	2	2
105	чем речь	2	2
106	хотя и	2	2
107	по своей	2	2
108	не видно	2	2
109	в нем	2	2
110	не есть	4	2
111	себя в	4	2
112	в целом	3	2
113	дело не	3	2
114	в тексте	9	2
115	в форме	2	2
116	все это	3	2
117	на языке	3	2
118	и вот	2	2
119	лишь в	5	2
120	по его	3	2
121	и на	4	2
122	не случайно	8	2
123	сказать что	2	2
124	в себе	2	2
125	в этой	6	2
126	этого слова	2	2
127	в особенности	3	2
