N	2gram	Nazirov_Vr_1	Russkaja
1	не может	2	22
2	и не	5	19
3	в том	3	17
4	в этом	8	17
5	и в	8	14
6	то что	7	13
7	таким образом	2	11
8	то же	5	11
9	точки зрения	2	11
10	же время	5	10
11	но и	7	10
12	в то	5	10
13	том что	3	9
14	не только	9	9
15	в себе	2	9
16	с точки	2	9
17	может быть	4	9
18	отнюдь не	2	7
19	россии в	2	7
20	о том	4	7
21	и с	6	7
22	что он	4	6
23	для него	2	6
24	все это	4	6
25	в своем	3	6
26	в своих	4	6
27	в россии	5	6
28	на то	3	5
29	при этом	4	5
30	в своей	2	5
31	он не	3	5
32	никогда не	2	5
33	в нем	6	5
34	а в	2	5
35	между тем	5	5
36	что в	7	4
37	в мире	2	4
38	как и	6	4
39	как бы	4	4
40	все же	6	4
41	вместе с	2	4
42	и то	2	4
43	в этой	2	4
44	в его	3	4
45	его в	3	4
46	он сам	2	3
47	в конце	3	3
48	с нею	2	3
49	и как	3	3
50	еще не	2	3
51	несмотря на	4	3
52	из них	2	3
53	не было	5	3
54	тем что	3	3
55	и во	3	3
56	связи с	3	3
57	одна из	2	3
58	место в	2	2
59	а с	2	2
60	у него	5	2
61	его и	2	2
62	к себе	2	2
63	это в	2	2
64	этот человек	2	2
65	уже не	2	2
66	но это	2	2
67	и о	3	2
68	в ней	4	2
69	на это	2	2
70	в котором	6	2
71	речь идет	3	2
72	для нас	4	2
73	целый ряд	4	2
74	в россию	4	2
75	тогда как	2	2
76	отношения к	2	2
77	и что	8	2
78	и даже	6	2
79	так же	4	2
80	в глазах	2	2
81	том же	2	2
82	их в	2	2
83	в начале	6	2
84	во время	2	2
85	с ним	4	2
86	но в	6	2
