N	2gram	Nazirov_Vr_1	Stilisti
1	и в	8	42
2	как бы	4	27
3	не только	9	27
4	и т.п	2	24
5	но и	7	15
6	то же	5	15
7	и не	5	14
8	может быть	4	12
9	не может	2	12
10	точки зрения	2	11
11	как и	6	11
12	и как	3	10
13	отнюдь не	2	10
14	в этом	8	10
15	при этом	4	9
16	в то	5	9
17	то что	7	9
18	все же	6	8
19	в ней	4	8
20	таким образом	2	8
21	эти слова	3	8
22	в себе	2	8
23	и это	2	8
24	никогда не	2	7
25	же время	5	7
26	с его	3	7
27	и его	3	7
28	в этой	2	6
29	в свою	2	6
30	в конце	3	6
31	в нем	6	6
32	уже в	4	5
33	а в	2	5
34	и с	6	5
35	в его	3	5
36	вместе с	2	5
37	в той	2	5
38	с точки	2	5
39	все это	4	4
40	так же	4	4
41	о том	4	4
42	его в	3	4
43	но в	6	4
44	а с	2	4
45	уже не	2	4
46	и то	2	4
47	на это	2	4
48	его и	2	3
49	что у	3	3
50	это не	4	3
51	для нас	4	3
52	не мог	2	3
53	в котором	6	3
54	и уже	3	3
55	из них	2	3
56	и даже	6	3
57	их в	2	3
58	в начале	6	3
59	в виду	4	3
60	и все	7	3
61	об этом	5	3
62	том что	3	3
63	еще не	2	3
64	отношения к	2	3
65	связи с	3	3
66	ответ на	2	3
67	место в	2	2
68	человека в	3	2
69	в мире	2	2
70	в том	3	2
71	но это	2	2
72	для него	2	2
73	несмотря на	4	2
74	в него	2	2
75	отношение к	2	2
76	целый ряд	4	2
77	в связи	3	2
78	не было	5	2
79	в своих	4	2
80	человека с	2	2
81	к этому	3	2
82	что он	4	2
83	на первый	2	2
84	в своей	2	2
85	и он	2	2
86	с ним	4	2
87	тем что	3	2
