N	2gram	Medvedev_V_1	KulturaY
1	и т	23	39
2	т п	9	24
3	и в	26	23
4	т е	18	22
5	не только	25	20
6	в том	15	19
7	в этом	26	18
8	и не	19	16
9	было бы	7	15
10	может быть	22	15
11	т д	14	14
12	точки зрения	3	14
13	если бы	3	12
14	у нас	2	12
15	в самом	4	12
16	все эти	6	12
17	том что	8	11
18	того чтобы	3	11
19	в области	2	11
20	но в	2	11
21	что в	10	10
22	по себе	2	10
23	а не	7	10
24	вовсе не	3	9
25	то что	6	9
26	для того	3	9
27	хотя бы	19	9
28	можно было	2	9
29	не может	17	9
30	с другой	11	8
31	прежде всего	13	8
32	не в	6	8
33	в качестве	11	8
34	не менее	2	7
35	в силу	11	7
36	все же	5	7
37	но и	10	7
38	другой стороны	8	7
39	это не	7	6
40	по крайней	2	6
41	крайней мере	2	6
42	в этой	4	6
43	но не	2	6
44	что не	3	6
45	то же	10	6
46	этот вопрос	3	6
47	между тем	5	6
48	ту же	2	6
49	что мы	2	6
50	не могут	7	5
51	что все	3	5
52	что он	4	5
53	об этом	9	5
54	по существу	3	5
55	еще не	2	5
56	в его	14	5
57	один из	5	5
58	должен быть	4	5
59	вместе с	7	5
60	приводит к	5	5
61	все это	10	5
62	таким образом	31	5
63	лишь в	2	5
64	как это	12	5
65	не следует	8	5
66	только в	7	5
67	зависимости от	5	5
68	также и	2	5
69	мы имеем	3	5
70	можно ли	2	4
71	отнюдь не	3	4
72	в зависимости	6	4
73	в них	4	4
74	перед нами	4	4
75	к этому	9	4
76	бы и	6	4
77	можно сказать	4	4
78	к тому	4	4
79	мы знаем	3	4
80	должно быть	2	4
81	в нашей	4	4
82	в пределах	5	4
83	или в	3	4
84	от того	2	4
85	хотя и	2	4
86	как бы	5	4
87	в нем	6	4
88	так же	3	4
89	в связи	3	4
90	не было	7	4
91	этой области	3	4
92	эта не	2	4
93	в результате	5	4
94	сказать что	5	4
95	могут быть	5	4
96	говорить о	2	4
97	в то	6	4
98	в конце	3	4
99	в особенности	2	4
100	так и	5	4
101	у него	6	3
102	всех этих	2	3
103	главным образом	7	3
104	же время	5	3
105	что оно	3	3
106	же в	6	3
107	п в	3	3
108	это и	6	3
109	большей или	3	3
110	в большей	2	3
111	связи с	4	3
112	меньшей степени	2	3
113	в статье	4	3
114	но для	2	3
115	в ней	2	3
116	он не	2	3
117	в сфере	2	3
118	что и	3	3
119	в процессе	16	3
120	что она	2	3
121	отличается от	2	3
122	как раз	3	3
123	в форме	3	3
124	с этим	3	3
125	этом отношении	13	3
126	именно в	2	3
127	сводится к	3	3
128	того что	3	3
129	из которых	2	3
130	что такое	2	3
131	и по	3	3
132	вот почему	4	3
133	а в	3	3
134	и его	6	3
135	конце концов	2	3
136	знаем что	2	3
137	или меньшей	3	3
138	на это	2	3
139	всего лишь	3	3
140	в виду	4	3
141	же как	2	2
142	с тем	3	2
143	и есть	5	2
144	в частности	11	2
145	никогда не	4	2
146	но даже	3	2
147	что у	2	2
148	и от	3	2
149	никаких оснований	2	2
150	представить себе	2	2
151	что они	3	2
152	конечном счете	5	2
153	ли не	2	2
154	утверждать что	4	2
155	в другом	2	2
156	и потому	2	2
157	только о	2	2
158	с одной	2	2
159	очевидно что	7	2
160	смысле слова	2	2
161	ли это	2	2
162	она не	3	2
163	по поводу	2	2
164	по словам	8	2
165	в целях	2	2
166	между прочим	2	2
167	того или	2	2
168	же и	2	2
169	в конечном	7	2
170	и даже	2	2
171	мы видели	3	2
172	в своей	4	2
173	все они	2	2
174	в их	5	2
175	вообще и	2	2
176	в своем	8	2
177	например что	3	2
178	и для	2	2
179	еще и	2	2
180	достоевского и	2	2
181	как и	7	2
182	образом в	3	2
183	этой точки	2	2
184	в году	6	2
185	чтобы не	2	2
186	должны быть	2	2
187	и у	2	2
188	что для	3	2
189	роль в	4	2
190	с ними	4	2
191	в которых	3	2
192	с работой	3	2
193	также что	2	2
194	даже и	3	2
195	он и	2	2
196	в своих	2	2
197	это только	4	2
198	как у	2	2
199	заключается в	2	2
200	будто бы	2	2
201	иметь в	2	2
