N	2gram	Voloshinov_1	EvropaiE
1	и в	38	37
2	в отношении	2	32
3	точки зрения	10	23
4	не только	27	18
5	с точки	5	17
6	в то	9	16
7	хотя бы	18	15
8	то же	14	15
9	в качестве	4	14
10	же время	7	14
11	но и	13	14
12	и не	14	14
13	но в	5	14
14	в этом	10	12
15	в том	2	11
16	в области	5	11
17	так и	6	10
18	отнюдь не	10	9
19	прежде всего	21	9
20	не может	12	9
21	в себе	9	9
22	только в	6	9
23	так же	4	9
24	к тому	4	8
25	в ее	3	8
26	было бы	7	8
27	в своей	2	8
28	между тем	3	8
29	как и	10	7
30	по своему	3	7
31	того что	4	7
32	также и	2	7
33	так как	7	7
34	вовсе не	2	6
35	том что	3	6
36	может быть	13	6
37	для того	9	6
38	как бы	28	6
39	то что	8	6
40	во всех	6	6
41	того чтобы	7	6
42	и даже	3	6
43	и на	6	6
44	то есть	4	6
45	в частности	3	5
46	не в	6	5
47	но не	2	5
48	одной из	2	5
49	как мы	9	5
50	в той	5	5
51	тем самым	7	5
52	и потому	2	5
53	независимо от	5	4
54	но даже	2	4
55	вопрос о	2	4
56	или иного	5	4
57	или иной	4	4
58	можно сказать	4	4
59	иными словами	2	4
60	несмотря на	2	4
61	в самом	4	4
62	в ней	8	4
63	той или	3	4
64	в процессе	6	4
65	для нас	3	4
66	мы не	9	4
67	сказать что	3	4
68	в каком	2	4
69	того или	5	4
70	как это	5	4
71	место в	2	3
72	и к	4	3
73	этом отношении	2	3
74	с тем	8	3
75	никогда не	7	3
76	и от	7	3
77	приближается к	2	3
78	или иную	3	3
79	мы видели	5	3
80	представляет собой	2	3
81	мы можем	7	3
82	в свою	6	3
83	очевидно что	2	3
84	связано с	2	3
85	ту или	3	3
86	в данной	3	3
87	из них	3	3
88	не является	5	3
89	и тем	6	3
90	что и	3	3
91	не будет	3	3
92	во второй	3	3
93	бы и	2	3
94	заключает в	4	3
95	как в	2	3
96	и для	3	3
97	можно было	4	3
98	в которых	2	3
99	потому что	5	3
100	тем что	2	3
101	ни на	3	3
102	в будущем	3	3
103	себе в	2	3
104	о том	4	3
105	или хотя	2	2
106	для них	2	2
107	а не	6	2
108	в этих	2	2
109	еще более	2	2
110	в какой	2	2
111	с этим	2	2
112	и все	4	2
113	в одном	3	2
114	к нему	2	2
115	главным образом	3	2
116	есть не	2	2
117	и эта	3	2
118	не нужно	2	2
119	влияние на	4	2
120	при условии	2	2
121	и как	9	2
122	свою очередь	4	2
123	но как	2	2
124	между ними	3	2
125	что это	4	2
126	не говоря	2	2
127	не к	3	2
128	он не	2	2
129	в его	6	2
130	помнить что	2	2
131	в котором	3	2
132	в мире	2	2
133	жизни и	3	2
134	как не	2	2
135	вместе с	5	2
136	всего в	3	2
137	целый ряд	3	2
138	что же	8	2
139	а в	5	2
140	таким образом	7	2
141	если бы	4	2
142	случаях когда	2	2
143	в значительной	2	2
144	и наконец	5	2
145	этот процесс	2	2
146	с другими	2	2
147	мы видим	3	2
148	или в	2	2
149	в своих	2	2
150	этот вопрос	2	2
151	что эти	2	2
152	и с	5	2
153	хотя и	3	2
154	долгое время	3	2
155	в этой	6	2
156	ведь и	2	2
157	и то	3	2
158	по своей	2	2
159	мы должны	10	2
160	между собой	2	2
161	и поэтому	3	2
162	бы в	5	2
163	заметить что	2	2
