N	3gram	Potebnia_M_3	KulturaY
1	и т п	2	18
2	в том что	16	15
3	для того чтобы	3	15
4	и т д	3	14
5	по отношению к	5	8
6	в том чтобы	2	8
7	только потому что	2	6
8	с другой стороны	4	6
9	по крайней мере	5	5
10	в этом отношении	2	5
11	том что он	2	4
12	до сих пор	3	4
13	не в том	5	4
14	тем не менее	3	4
15	по мере того	3	3
16	только в том	3	3
17	мере того как	3	3
18	в свою очередь	3	3
19	более или менее	3	3
20	не может быть	3	3
21	вместе с тем	4	3
22	то же время	5	2
23	к тому что	2	2
24	и в самом	2	2
25	так и в	2	2
26	потому что не	3	2
27	в то же	5	2
28	том что оно	2	2
29	а в том	5	2
30	именно в том	2	2
