N	2gram	Ircho_Kome_1	KFilosof
1	может быть	9	43
2	в его	5	39
3	в нем	4	31
4	не может	2	27
5	и не	8	26
6	по отношению	3	25
7	и в	22	22
8	в котором	4	21
9	отношению к	3	21
10	в себе	2	21
11	и его	8	17
12	только в	3	16
13	точки зрения	4	13
14	в этом	3	13
15	ни в	6	12
16	но не	2	12
17	не в	6	11
18	к нему	2	11
19	все это	5	10
20	в целом	3	9
21	но и	11	9
22	в их	4	9
23	и все	3	9
24	было бы	2	8
25	со стороны	2	8
26	и здесь	2	7
27	вовсе не	2	7
28	что и	4	7
29	то что	2	7
30	в себя	2	7
31	в том	11	6
32	но это	2	6
33	отношение к	3	6
34	он не	3	6
35	то же	6	5
36	именно в	4	5
37	его в	3	5
38	но в	4	5
39	как и	9	5
40	не только	10	5
41	для себя	2	5
42	все же	3	5
43	времени и	2	4
44	место в	3	4
45	что в	6	4
46	время и	2	4
47	ни было	2	4
48	здесь мы	3	4
49	при этом	5	4
50	в своих	2	4
51	между тем	5	4
52	в одном	8	4
53	том что	12	4
54	а в	6	4
55	в чем	3	4
56	независимо от	2	3
57	не менее	3	3
58	из его	4	3
59	в свою	2	3
60	до конца	2	3
61	и тем	2	3
62	где он	2	3
63	и на	3	3
64	в то	10	3
65	о том	8	3
66	мы не	3	3
67	ясно что	4	3
68	по своему	3	3
69	еще не	2	3
70	тем как	2	3
71	тем что	4	3
72	могут быть	3	3
73	в другом	4	3
74	ничего не	3	3
75	то ни	2	2
76	прежде всего	5	2
77	вопрос о	3	2
78	тем не	2	2
79	и как	3	2
80	совсем не	2	2
81	на нем	2	2
82	же время	4	2
83	для этого	2	2
84	и других	7	2
85	именно на	2	2
86	в принципе	2	2
87	все остальные	3	2
88	потому что	5	2
89	в сознании	3	2
90	к этому	4	2
91	что он	6	2
92	включая сюда	3	2
93	бы то	2	2
94	в качестве	4	2
95	ли это	2	2
96	тот же	3	2
97	так и	5	2
98	как в	5	2
99	в виде	3	2
100	в этой	7	2
101	едва ли	7	2
102	в области	2	2
