N	2gram	Bakhtin_fo_1	Problema
1	и в	50	30
2	в своей	2	22
3	то есть	33	21
4	то что	6	18
5	не только	9	18
6	том что	4	17
7	в этом	25	17
8	и даже	2	14
9	но и	8	13
10	таким образом	11	13
11	потому что	4	13
12	в том	9	12
13	в его	13	12
14	и не	14	12
15	также и	2	12
16	в своем	4	11
17	у него	6	11
18	для нас	2	10
19	точки зрения	5	10
20	все же	6	9
21	сказать что	3	9
22	но в	10	9
23	и вообще	2	9
24	только в	4	9
25	и все	6	9
26	в конце	9	8
27	вовсе не	13	8
28	хотя и	3	8
29	с точки	2	8
30	никогда не	2	7
31	как и	8	7
32	в дальнейшем	6	7
33	связи с	6	7
34	но не	5	7
35	может быть	11	7
36	вместе с	3	7
37	так и	12	7
38	до нас	5	7
39	в связи	5	7
40	мы находим	2	7
41	не в	5	7
42	здесь не	4	7
43	в результате	6	7
44	с другой	2	6
45	прежде всего	15	6
46	уже не	2	6
47	и как	10	6
48	и для	4	6
49	как бы	2	6
50	в нем	24	6
51	что и	3	6
52	а в	3	6
53	и его	16	6
54	и на	8	6
55	его в	3	6
56	так как	6	6
57	с тем	3	5
58	что в	5	5
59	в которой	2	5
60	так же	6	5
61	в самом	8	5
62	и их	8	5
63	для себя	7	5
64	не может	6	5
65	а не	3	5
66	и у	5	5
67	и то	4	5
68	но он	2	5
69	как раз	13	5
70	и с	4	5
71	еще и	2	4
72	в частности	6	4
73	отнюдь не	5	4
74	жизни в	8	4
75	тогда когда	2	4
76	человека и	11	4
77	ни в	8	4
78	ясно что	2	4
79	об этом	2	4
80	но все	5	4
81	при этом	3	4
82	того же	8	4
83	было бы	2	4
84	в качестве	3	4
85	оказывается что	2	4
86	разного рода	2	4
87	и к	2	4
88	или в	3	4
89	нас в	3	4
90	в трагедии	2	4
91	в себе	3	4
92	в то	9	4
93	далеко не	2	4
94	в самой	2	3
95	для них	3	3
96	именно в	3	3
97	и другие	5	3
98	еще более	3	3
99	в отношении	3	3
100	же в	3	3
101	в ее	6	3
102	не столь	2	3
103	в начале	3	3
104	совсем не	2	3
105	смысле слова	2	3
106	то время	4	3
107	еще не	5	3
108	одной стороны	2	3
109	для того	5	3
110	он не	5	3
111	в новое	3	3
112	а также	2	3
113	с одной	3	3
114	только и	5	3
115	жизнь в	2	3
116	того что	2	3
117	есть только	2	3
118	в человека	2	3
119	в других	9	3
120	время как	5	3
121	жизнь и	4	3
122	от этого	2	3
123	быть только	3	3
124	в ней	4	3
125	с ним	2	3
126	в одном	3	3
127	в виду	3	3
128	мира в	3	3
129	поэтому и	3	2
130	не могут	3	2
131	мы будем	2	2
132	в них	4	2
133	том числе	4	2
134	хотя бы	2	2
135	как в	6	2
136	это не	6	2
137	во втором	2	2
138	уже в	2	2
139	раз и	2	2
140	один из	3	2
141	была бы	2	2
142	к этому	3	2
143	свои страдания	2	2
144	значение и	3	2
145	по себе	2	2
146	здесь в	2	2
147	к тому	3	2
148	то же	11	2
149	как мы	14	2
150	да и	3	2
151	раз в	4	2
152	по существу	12	2
153	мы и	4	2
154	в глаза	2	2
155	равно как	2	2
156	и нет	2	2
157	в свою	2	2
158	кроме того	4	2
159	до сих	3	2
160	со всеми	3	2
161	в это	2	2
162	жизни и	8	2
163	в данном	2	2
164	что не	3	2
165	конечно не	4	2
166	но для	2	2
167	и является	2	2
168	в котором	4	2
169	отношению к	5	2
170	не к	2	2
171	наряду с	5	2
172	и до	5	2
173	ее в	2	2
174	и речи	5	2
175	человеческой жизни	6	2
176	отношение к	2	2
177	борьбе с	2	2
178	по отношению	3	2
179	этот образ	2	2
180	здесь конечно	2	2
181	все эти	9	2
182	с помощью	2	2
183	мы не	3	2
184	всякого рода	2	2
185	они не	3	2
186	здесь как	2	2
187	в значительной	2	2
188	того чтобы	5	2
189	в таком	3	2
190	не входит	2	2
191	во всяком	3	2
192	тем что	2	2
193	это время	7	2
194	его на	2	2
195	дело в	2	2
196	есть в	2	2
197	в чем	2	2
198	ничего не	9	2
199	человек и	2	2
200	у гесиода	3	2
201	сих пор	3	2
