N	2gram	Potebnia_M_4	DiskursI
1	в себе	14	19
2	при этом	15	17
3	состоит в	2	16
4	и в	23	16
5	может быть	26	16
6	как и	14	16
7	в этом	23	16
8	и не	18	15
9	а не	12	14
10	то есть	34	12
11	в мире	2	11
12	но и	11	11
13	тогда как	4	11
14	но в	8	11
15	том что	12	10
16	не только	10	10
17	со стороны	3	10
18	так и	6	9
19	не может	11	9
20	в том	23	8
21	как в	7	8
22	не менее	5	7
23	в нем	7	7
24	в данном	4	7
25	еще не	3	6
26	данном случае	2	6
27	то же	14	6
28	тем самым	4	6
29	в своих	2	6
30	ни к	2	5
31	что в	17	5
32	в своем	8	5
33	с другой	2	5
34	же время	3	5
35	для него	5	5
36	то что	29	5
37	и на	3	5
38	в то	4	5
39	я в	2	5
40	в одном	4	4
41	к его	2	4
42	как бы	5	4
43	отношению к	8	4
44	по отношению	10	4
45	человека в	2	4
46	потому что	33	4
47	можно назвать	2	4
48	точки зрения	4	4
49	и то	5	4
50	о том	8	4
51	и может	4	3
52	могут быть	7	3
53	в этих	3	3
54	в них	3	3
55	столь же	2	3
56	это не	7	3
57	из виду	2	3
58	из этих	2	3
59	и все	4	3
60	было в	3	3
61	уже не	3	3
62	и как	2	3
63	не в	11	3
64	можно сказать	4	3
65	мысль о	6	3
66	например в	3	3
67	он не	2	3
68	в его	5	3
69	в котором	4	3
70	проявляется в	2	3
71	не было	12	3
72	все эти	3	3
73	и его	2	3
74	ведет к	3	3
75	но это	3	3
76	только в	15	3
77	не следует	2	3
78	его в	4	3
79	одном из	2	3
80	общих чертах	2	2
81	никогда не	3	2
82	в большинстве	2	2
83	этом случае	5	2
84	что на	2	2
85	в той	4	2
86	что он	4	2
87	есть в	5	2
88	не нужно	2	2
89	отношение к	2	2
90	со своим	4	2
91	в ряду	6	2
92	в ней	2	2
93	отношения между	2	2
94	что будет	2	2
95	не с	2	2
96	что и	7	2
97	с точки	3	2
98	но уже	3	2
99	этом в	2	2
100	слова не	3	2
101	вместе с	6	2
102	заключает в	8	2
103	что же	5	2
104	и прежде	2	2
105	в языке	16	2
106	именно в	3	2
107	и состоит	3	2
108	там же	3	2
109	все это	5	2
110	более чем	3	2
111	и для	2	2
112	должно быть	5	2
113	а в	5	2
114	той же	3	2
115	что как	4	2
116	тому как	2	2
117	их в	3	2
118	и с	4	2
119	может иметь	2	2
120	подобно тому	2	2
121	стремится к	2	2
122	говорить о	5	2
123	и это	2	2
124	в области	2	2
125	мы имеем	4	2
126	между тем	9	2
