N	2gram	Tiupa_Narr_1	Tragedij
1	и в	11	18
2	в романе	2	10
3	в году	2	9
4	в этом	12	9
5	не только	31	8
6	он сам	3	7
7	и не	23	7
8	и на	5	7
9	и с	3	7
10	может быть	15	7
11	как бы	6	7
12	что он	3	6
13	и его	10	6
14	же время	4	6
15	у него	7	6
16	но в	7	6
17	все же	4	5
18	к жизни	2	5
19	так и	5	5
20	это не	3	5
21	не может	8	5
22	то же	8	5
23	как и	13	5
24	в то	4	5
25	но и	27	4
26	то что	9	4
27	в целом	3	4
28	что в	3	4
29	прежде всего	4	4
30	и все	3	4
31	в нем	4	4
32	и даже	2	4
33	том что	7	4
34	в этой	6	4
35	в себе	6	4
36	еще не	4	4
37	об этом	6	4
38	один из	6	3
39	с ее	2	3
40	о чем	4	3
41	отнюдь не	2	3
42	в своем	3	3
43	в конце	2	3
44	как в	4	3
45	в поле	3	3
46	тем самым	5	3
47	и он	6	3
48	и как	3	3
49	к нему	4	3
50	в его	6	3
51	для него	4	3
52	при этом	19	3
53	своего рода	10	3
54	как будто	3	3
55	в мире	4	3
56	как это	3	3
57	с ним	2	3
58	то есть	9	3
59	еще в	3	2
60	не имеет	2	2
61	перед нами	5	2
62	но они	3	2
63	в частности	14	2
64	в отличие	2	2
65	данном случае	8	2
66	который в	2	2
67	но при	3	2
68	уже не	8	2
69	с его	4	2
70	к тому	6	2
71	столь же	5	2
72	о его	2	2
73	времени в	2	2
74	в ходе	3	2
75	в том	8	2
76	до конца	2	2
77	друг друга	2	2
78	отличие от	2	2
79	в таком	2	2
80	не в	6	2
81	в глазах	3	2
82	в данном	11	2
83	и то	3	2
84	в рассказе	8	2
85	одна из	4	2
86	потому что	5	2
87	в первом	4	2
88	чем он	2	2
89	он и	2	2
90	и ее	3	2
91	еще раз	3	2
92	как у	2	2
93	о том	4	2
94	в самом	6	2
95	во сне	2	2
96	это уже	3	2
97	не мог	6	2
98	ничего не	2	2
99	он не	3	2
100	в одном	4	2
101	никогда не	4	2
