N	2gram	Bakhtin_Fr_8	OGranits
1	и в	56	13
2	и его	12	12
3	прежде всего	6	9
4	не может	2	8
5	и не	9	8
6	может быть	3	8
7	и их	8	7
8	и т.п	11	7
9	точки зрения	6	7
10	в его	18	7
11	таким образом	17	6
12	не только	8	6
13	то что	3	6
14	только в	9	6
15	как бы	11	6
16	все же	2	5
17	с точки	2	5
18	языка и	6	5
19	и эта	2	5
20	и т.д	3	5
21	и наконец	3	5
22	в процессе	5	5
23	то же	11	4
24	в своей	2	4
25	все это	8	4
26	еще и	3	4
27	мы не	2	4
28	слов и	3	4
29	было бы	2	4
30	но в	6	4
31	что в	5	3
32	никогда не	5	3
33	но и	9	3
34	так и	13	3
35	в их	3	3
36	не как	2	3
37	и все	6	3
38	в одном	2	3
39	здесь мы	3	3
40	самом деле	2	3
41	в ее	6	3
42	как и	5	3
43	не в	3	3
44	за пределы	4	3
45	в которой	4	3
46	и то	2	3
47	в пределах	5	3
48	в себе	4	3
49	и для	2	3
50	так как	4	3
51	и др	8	2
52	уже в	2	2
53	с этой	2	2
54	в нем	8	2
55	во всей	2	2
56	литературного языка	4	2
57	своего рода	5	2
58	данном случае	2	2
59	а не	2	2
60	в отношении	5	2
61	другой стороны	2	2
62	с другой	2	2
63	от всех	2	2
64	не на	3	2
65	в них	11	2
66	в связи	3	2
67	а в	2	2
68	с одной	4	2
69	все эти	15	2
70	вовсе не	6	2
71	роль в	5	2
72	конечно в	2	2
73	на две	2	2
74	и к	4	2
75	если бы	2	2
76	громадную роль	3	2
77	в том	13	2
78	наконец в	4	2
79	так же	2	2
80	не мог	3	2
81	том что	8	2
82	мы видим	6	2
83	с помощью	3	2
84	в своих	4	2
85	в данном	2	2
86	что они	2	2
87	в этом	14	2
88	между тем	3	2
89	при этом	4	2
90	и ее	4	2
91	для него	2	2
92	форм и	4	2
93	в другом	3	2
94	во всем	4	2
95	более того	3	2
96	одной стороны	2	2
97	в действительности	2	2
98	несмотря на	2	2
99	мы уже	10	2
100	слова и	3	2
101	в области	5	2
102	в самом	9	2
103	и при	2	2
104	там где	3	2
105	бы в	3	2
106	между собою	2	2
107	в ней	4	2
108	а также	3	2
109	и стиль	2	2
