N	2gram	Berdyaev_O_1	Myslijsy
1	потому что	9	33
2	то что	5	29
3	может быть	11	26
4	в том	5	23
5	и в	19	23
6	в этом	12	23
7	и не	13	18
8	что в	4	17
9	как и	6	14
10	в себе	3	14
11	того что	3	14
12	так как	2	14
13	том что	2	12
14	не было	9	12
15	а не	11	12
16	по себе	2	11
17	но и	13	11
18	не в	11	11
19	не может	4	11
20	и потому	2	10
21	не только	11	10
22	тем что	2	10
23	не есть	2	9
24	в своем	2	8
25	было бы	3	8
26	сказать что	2	8
27	о том	3	8
28	но в	2	8
29	с тем	2	7
30	это не	3	7
31	в нем	10	7
32	что и	2	7
33	могут быть	3	7
34	мысли и	3	7
35	и к	2	6
36	мысль о	2	6
37	для того	3	6
38	человеческого духа	3	6
39	что не	4	6
40	в которой	2	6
41	так и	2	6
42	уже в	2	5
43	так что	2	5
44	для него	5	5
45	хотя и	2	5
46	в его	7	5
47	как бы	3	5
48	к нему	3	5
49	что же	2	5
50	все это	6	5
51	должно быть	2	5
52	а в	5	5
53	с ним	3	5
54	и то	2	5
55	не имеет	2	5
56	и все	10	4
57	что все	2	4
58	быть может	3	4
59	что он	3	4
60	и о	2	4
61	в истории	2	4
62	того чтобы	4	4
63	хотя бы	3	4
64	для человека	2	4
65	его в	2	4
66	и с	2	4
67	и есть	3	3
68	никогда не	9	3
69	в этих	3	3
70	о человеке	29	3
71	человека и	10	3
72	что человек	3	3
73	еще не	3	3
74	и из	2	3
75	в самом	5	3
76	нет ничего	7	3
77	что есть	2	3
78	все эти	4	3
79	что у	2	3
80	лишь в	7	3
81	ко всем	2	3
82	и на	2	3
83	даже и	2	3
84	не могут	3	2
85	все что	3	2
86	вопрос о	10	2
87	человек не	7	2
88	отношение к	5	2
89	все в	4	2
90	человека а	2	2
91	в ее	2	2
92	в самой	9	2
93	от него	7	2
94	чем в	2	2
95	он не	7	2
96	никто не	3	2
97	и мысли	4	2
98	природы и	2	2
99	и для	2	2
100	человека в	11	2
101	и его	4	2
102	в других	2	2
103	есть лишь	4	2
104	в своих	3	2
105	к ней	2	2
106	человеческой природы	20	2
107	это было	3	2
