N	2gram	Nazirov_Tr_1	Mirosoze
1	у достоевского	5	42
2	может быть	7	30
3	не только	8	29
4	и в	18	28
5	не может	5	28
6	но и	4	25
7	он не	2	24
8	в этом	9	20
9	у него	6	17
10	не в	2	16
11	потому что	2	16
12	никогда не	2	14
13	он был	2	14
14	до конца	2	14
15	в нем	4	13
16	и он	3	12
17	и это	2	12
18	для него	3	11
19	в самом	2	11
20	и не	7	11
21	что в	4	10
22	в своем	3	10
23	в мире	3	10
24	прежде всего	4	10
25	и все	4	10
26	что он	6	10
27	достоевского в	3	9
28	с тем	2	9
29	в его	3	9
30	и его	6	9
31	из самых	2	8
32	не был	2	7
33	в конце	3	7
34	но в	6	7
35	ивана карамазова	2	7
36	к нему	3	7
37	в себе	4	7
38	он сам	7	6
39	в том	2	6
40	в этой	4	6
41	все это	4	6
42	и на	7	6
43	достоевский не	4	6
44	не могут	2	5
45	это не	5	5
46	и я	2	5
47	достоевский в	7	5
48	для достоевского	2	5
49	как и	5	5
50	то что	4	5
51	в самую	2	5
52	русской литературы	2	5
53	уже в	3	4
54	нет в	2	4
55	мог бы	3	4
56	отношение к	2	4
57	веру в	2	4
58	зла в	2	4
59	один из	3	4
60	человеческой личности	2	4
61	что и	2	4
62	уже не	2	4
63	что достоевский	4	4
64	тем что	2	4
65	к тому	2	3
66	не мог	2	3
67	не имеет	2	3
68	не так	2	3
69	должно быть	3	3
70	его в	2	3
71	это очень	5	3
72	то есть	3	3
73	и с	7	3
74	с его	2	3
75	в ее	2	3
76	том что	4	3
77	ничего не	2	3
78	бы и	2	3
79	вряд ли	2	3
80	сам достоевский	3	3
81	вопрос о	2	2
82	о чем	3	2
83	устремлен к	2	2
84	в бесах	9	2
85	все эти	3	2
86	и что	4	2
87	достоевским в	2	2
88	он и	2	2
89	как бы	7	2
90	о том	2	2
91	с ним	3	2
92	а как	2	2
93	в преступлении	2	2
94	в то	5	2
95	как будто	3	2
96	никто не	3	2
97	еще в	2	2
98	все же	5	2
99	как в	3	2
100	и как	3	2
