N	2gram	Losev_Vesc_1	Narrotol
1	не только	36	26
2	а не	19	17
3	но и	18	15
4	в том	8	14
5	и не	29	14
6	том что	8	13
7	и в	21	13
8	в этом	4	13
9	только в	14	11
10	может быть	16	10
11	в данном	5	10
12	к тому	3	9
13	так и	3	9
14	сводится к	2	9
15	а в	4	9
16	то что	27	8
17	в себе	14	8
18	не может	17	8
19	не в	5	8
20	к себе	4	7
21	никогда не	2	6
22	в своем	6	6
23	в жизни	3	6
24	прежде всего	9	6
25	можно сказать	6	6
26	того что	8	6
27	в его	2	6
28	данном случае	2	6
29	со стороны	5	6
30	все же	4	6
31	у него	2	6
32	как бы	12	6
33	ничего не	3	6
34	но в	5	6
35	точки зрения	5	5
36	тем не	3	5
37	одной стороны	3	5
38	хотя и	4	5
39	в котором	3	5
40	я не	4	5
41	и тем	3	5
42	в нем	2	5
43	таким образом	8	5
44	с одной	3	5
45	в той	3	5
46	с другой	6	5
47	в то	3	5
48	я в	2	5
49	о том	6	5
50	перед нами	2	4
51	что это	13	4
52	не менее	3	4
53	если бы	5	4
54	отнюдь не	5	4
55	в конце	2	4
56	об этом	3	4
57	как и	8	4
58	что в	9	4
59	для него	4	4
60	жизни и	2	4
61	в своей	5	4
62	в ее	7	4
63	то же	6	4
64	уже не	9	4
65	и у	3	4
66	свидетельствует о	3	4
67	в силу	3	4
68	в другом	2	4
69	в этой	3	4
70	и все	5	4
71	как это	2	4
72	с ним	8	4
73	в себя	13	4
74	тому что	2	3
75	мы имеем	7	3
76	это не	5	3
77	о которой	2	3
78	да и	3	3
79	и того	2	3
80	в слове	2	3
81	что я	24	3
82	что они	6	3
83	одна из	5	3
84	но не	5	3
85	к ней	2	3
86	как раз	9	3
87	и когда	4	3
88	той или	2	3
89	только к	2	3
90	для себя	5	3
91	один из	3	3
92	то и	4	3
93	как к	4	3
94	все эти	3	3
95	самом деле	4	3
96	того чтобы	3	3
97	и даже	6	3
98	и для	9	3
99	и его	2	3
100	с ними	3	3
101	о ней	2	3
102	с этой	4	3
103	никак не	3	3
104	сказать что	17	3
105	по своей	2	3
106	только не	2	2
107	а потом	2	2
108	что у	5	2
109	хотя бы	6	2
110	с нею	18	2
111	вовсе не	10	2
112	и здесь	4	2
113	в свою	4	2
114	на то	4	2
115	для нас	2	2
116	и т	19	2
117	должна быть	4	2
118	имеем дело	3	2
119	еще не	8	2
120	было бы	14	2
121	со своим	7	2
122	в самом	9	2
123	но для	2	2
124	что она	15	2
125	у меня	3	2
126	от его	2	2
127	не вполне	2	2
128	однако не	2	2
129	оно не	3	2
130	себя не	2	2
131	что и	3	2
132	себя в	10	2
133	не будет	12	2
134	я сам	3	2
135	от всего	12	2
136	жизни мы	2	2
137	только на	3	2
138	в настоящем	2	2
139	собственно говоря	4	2
140	а с	3	2
141	если не	3	2
142	у нас	7	2
143	и что	15	2
144	только что	2	2
145	с точки	3	2
146	той же	2	2
147	мы не	6	2
148	можно было	2	2
149	или иначе	4	2
150	в чем	6	2
151	тому как	4	2
152	но это	10	2
153	не случайно	2	2
154	в результате	3	2
155	себя с	5	2
156	в ней	12	2
157	но он	2	2
158	подобно тому	4	2
159	говорить о	6	2
160	бы в	5	2
161	потому что	16	2
162	то чтобы	3	2
