N	2gram	Bakhtin_Pr_2	Sotsiolo
1	все это	5	7
2	в том	6	5
3	в этом	13	5
4	не в	11	3
5	как же	2	3
6	для нас	2	3
7	и только	3	3
8	но ведь	5	3
9	в его	10	3
10	и в	43	3
11	не только	11	3
12	по отношению	5	2
13	еще не	9	2
14	было бы	5	2
15	только в	4	2
16	в конце	2	2
17	по существу	3	2
18	таким образом	5	2
19	том что	2	2
20	далеко не	4	2
21	то же	8	2
22	отношению к	5	2
23	то что	7	2
24	может быть	23	2
25	за пределы	3	2
26	в результате	4	2
27	и что	5	2
28	но и	14	2
29	как бы	22	2
30	должна быть	3	2
31	конце концов	2	2
32	ведь это	2	2
33	что в	4	2
