N	3gram	Tiupa_Teor_1	Narrotol
1	в том что	8	8
2	с одной стороны	2	7
3	в том числе	2	6
4	по отношению к	4	6
5	в отличие от	6	5
6	не может быть	4	5
7	можно сказать что	2	4
8	в данном случае	5	4
9	с другой стороны	5	4
10	то же время	5	3
11	состоит в том	5	3
12	и тем самым	2	3
13	в свою очередь	2	3
14	в то же	5	3
15	тем не менее	3	3
16	так или иначе	4	2
17	значении этого слова	2	2
18	присутствия в мире	5	2
19	мы имеем дело	2	2
20	так и не	4	2
21	не сводится к	4	2
22	более или менее	2	2
23	в конечном счете	6	2
24	тогда как в	2	2
25	с точки зрения	3	2
26	того или иного	3	2
