N	2gram	Tiupa_Vved_1	slovoVRo
1	и в	13	41
2	в нем	5	30
3	то есть	8	26
4	в романе	6	21
5	могут быть	4	19
6	во всех	2	17
7	но и	19	16
8	и не	12	16
9	не только	20	16
10	а не	15	15
11	то же	5	14
12	в пределах	2	14
13	может быть	18	14
14	не может	7	14
15	и его	5	14
16	и на	3	14
17	в то	4	14
18	в его	4	13
19	же время	3	12
20	до конца	3	12
21	как бы	4	12
22	в этом	21	12
23	так и	8	11
24	в той	4	10
25	или иной	3	9
26	той или	3	9
27	таким образом	4	9
28	слова в	2	8
29	прежде всего	7	8
30	точка зрения	3	8
31	но в	6	8
32	как в	4	8
33	как мы	3	8
34	все они	2	7
35	не в	6	7
36	отношение к	2	7
37	с ним	3	7
38	на фоне	2	7
39	в своей	5	7
40	все же	6	7
41	в слове	3	7
42	это не	6	6
43	при этом	26	6
44	а в	6	6
45	в них	2	6
46	по своим	3	6
47	только в	6	6
48	с другой	5	5
49	национального языка	2	5
50	в самом	2	5
51	в основе	3	5
52	точек зрения	2	5
53	как его	2	5
54	и к	2	5
55	далеко не	4	5
56	так сказать	2	5
57	перед нами	6	4
58	и от	2	4
59	одной стороны	5	4
60	одним из	5	4
61	в ней	4	4
62	один из	3	4
63	с одной	5	4
64	лишь в	2	4
65	и наконец	2	4
66	и с	2	4
67	и все	4	4
68	не как	2	4
69	как и	11	4
70	еще не	7	4
71	быть и	2	4
72	другой стороны	2	4
73	и для	3	4
74	никогда не	4	3
75	из этих	3	3
76	язык как	2	3
77	к тому	6	3
78	в том	10	3
79	более или	2	3
80	в свою	4	3
81	для него	3	3
82	данном случае	6	3
83	в своем	5	3
84	того что	6	3
85	также и	4	3
86	в результате	3	3
87	не было	2	3
88	о том	5	3
89	в первом	2	3
90	которая не	2	3
91	не могло	2	3
92	в себе	5	3
93	рассказчика и	2	3
94	в качестве	8	3
95	было бы	4	3
96	он не	3	3
97	бы и	4	3
98	или менее	2	3
99	в данном	13	3
100	как оно	2	3
101	свою очередь	4	2
102	своего и	2	2
103	в частности	13	2
104	одного из	3	2
105	можно сказать	4	2
106	для нас	2	2
107	мы и	2	2
108	например в	2	2
109	такого рода	16	2
110	хотя и	7	2
111	и по	3	2
112	и тем	2	2
113	в целом	3	2
114	в этих	3	2
115	уже не	5	2
116	те же	2	2
117	чужого слова	3	2
118	потому что	5	2
119	рассказ в	2	2
120	не является	3	2
121	в сознании	4	2
122	за пределами	3	2
123	в котором	8	2
124	для них	3	2
125	между собой	2	2
126	или напротив	2	2
127	и чужого	2	2
128	к этому	2	2
129	том что	7	2
130	не с	3	2
131	одна из	4	2
132	но не	5	2
133	по своему	2	2
134	а на	2	2
135	них как	2	2
136	а также	8	2
137	как раз	2	2
138	так в	4	2
139	а с	2	2
140	на самом	4	2
141	мы не	4	2
142	можно было	2	2
143	быть только	2	2
144	автора в	5	2
145	здесь не	2	2
