N	2gram	Propp_Isto_2	UchenyiS
1	и в	15	14
2	а не	5	10
3	не только	18	10
4	и не	11	8
5	прежде всего	5	8
6	то что	12	7
7	в этом	11	7
8	не может	5	7
9	может быть	17	6
10	хотя бы	2	5
11	все это	3	5
12	и только	2	5
13	то же	10	5
14	но и	14	4
15	в этой	4	4
16	в их	3	4
17	с другой	2	4
18	но в	6	3
19	как и	2	3
20	и то	2	3
21	все же	9	3
22	другой стороны	2	3
23	это не	2	3
24	было бы	5	3
25	смысле этого	2	2
26	том что	7	2
27	но не	2	2
28	в том	6	2
29	не все	2	2
30	по существу	2	2
31	мы не	3	2
32	не в	7	2
33	всех этих	3	2
34	и для	2	2
35	но это	4	2
36	не столько	2	2
37	только в	6	2
38	и с	4	2
39	тем что	4	2
40	сих пор	7	2
41	могут быть	2	2
42	его и	4	2
43	что он	24	2
44	в себе	4	2
45	в системе	2	2
46	до сих	6	2
47	что мы	3	2
48	в некоторых	2	2
49	превращается в	2	2
50	ничего не	7	2
51	самом деле	2	2
52	что она	5	2
53	что и	6	2
54	в его	6	2
55	таким образом	7	2
