N	2gram	Losev_Vesc_1	OGranits
1	и в	21	13
2	и его	2	12
3	прежде всего	9	9
4	не может	17	8
5	и не	29	8
6	может быть	16	8
7	и их	7	7
8	точки зрения	5	7
9	и пр	6	7
10	в его	2	7
11	таким образом	8	6
12	не только	36	6
13	то что	27	6
14	только в	14	6
15	мы должны	2	6
16	как бы	12	6
17	все же	4	5
18	с точки	3	5
19	и эта	3	5
20	но ведь	2	5
21	хотя бы	6	5
22	то же	6	4
23	в своей	5	4
24	все это	5	4
25	еще и	8	4
26	только и	2	4
27	мы не	6	4
28	мы можем	4	4
29	было бы	14	4
30	но в	5	4
31	что в	9	3
32	никогда не	2	3
33	но и	18	3
34	так и	3	3
35	что же	8	3
36	и все	5	3
37	в одном	2	3
38	со всей	2	3
39	самом деле	4	3
40	к одному	3	3
41	я хочу	5	3
42	языка как	2	3
43	в ее	7	3
44	да и	3	3
45	как и	8	3
46	не в	5	3
47	и то	10	3
48	есть прежде	2	3
49	одно и	5	3
50	в себе	14	3
51	говорить о	6	3
52	с этим	3	3
53	и для	9	3
54	так как	7	3
55	но для	2	3
56	слово в	2	3
57	и этот	2	2
58	не менее	3	2
59	себе что	3	2
60	для себя	5	2
61	с этой	4	2
62	и тем	3	2
63	в нем	2	2
64	данном случае	2	2
65	а не	19	2
66	в отношении	4	2
67	другой стороны	2	2
68	с другой	6	2
69	она является	3	2
70	от всех	4	2
71	собственно говоря	4	2
72	а в	4	2
73	с одной	3	2
74	все эти	3	2
75	вовсе не	10	2
76	может в	2	2
77	есть не	14	2
78	к тому	3	2
79	если бы	5	2
80	в чем	6	2
81	в том	8	2
82	что иное	7	2
83	том что	8	2
84	мы видим	2	2
85	с ними	3	2
86	в данном	5	2
87	что они	6	2
88	в этом	4	2
89	от этого	2	2
90	тем что	2	2
91	и следовательно	7	2
92	чем же	3	2
93	и ее	18	2
94	не что	7	2
95	для него	4	2
96	в другом	2	2
97	тот же	3	2
98	одной стороны	3	2
99	и может	2	2
100	в действительности	7	2
101	мы уже	3	2
102	общения и	2	2
103	мы получим	2	2
104	слова и	5	2
105	в самом	9	2
106	мог бы	5	2
107	бы в	5	2
108	между собою	6	2
109	в ней	12	2
110	иное как	7	2
