N	3gram	Vinokur_St_1	EvropaiE
1	с точки зрения	8	16
2	в то же	4	15
3	то же время	4	14
4	с одной стороны	2	8
5	в том что	17	6
6	так же как	3	5
7	для того чтобы	10	5
8	и в этом	3	4
9	не только в	4	4
10	того или иного	4	4
11	можно было бы	8	3
12	хотя бы и	2	3
13	в этом отношении	7	3
14	в применении к	3	3
15	во всяком случае	6	3
16	так и в	4	2
17	в данном случае	6	2
18	на то что	4	2
19	только в том	3	2
20	с другой стороны	6	2
21	и только в	3	2
22	но в то	2	2
23	то что в	2	2
24	заключается в том	3	2
25	не может быть	5	2
26	сказать что в	3	2
