N	2gram	Nazirov_Tv_2	Mirosoze
1	и в	20	46
2	у достоевского	30	34
3	в нем	3	22
4	у него	6	22
5	может быть	8	21
6	в этом	8	20
7	никогда не	11	18
8	для него	3	18
9	и не	9	18
10	не только	13	18
11	но и	8	15
12	не может	7	15
13	человека в	3	14
14	как и	6	13
15	иван карамазов	7	13
16	а не	6	13
17	прежде всего	8	12
18	друг друга	2	12
19	потому что	7	12
20	не было	2	11
21	у нас	2	11
22	и он	2	11
23	но в	4	10
24	он не	3	10
25	в себе	3	10
26	не в	4	9
27	и есть	2	8
28	но это	5	8
29	как бы	11	8
30	для достоевского	2	8
31	так как	3	8
32	и достоевский	4	8
33	человека и	3	7
34	в мире	5	7
35	в этой	5	7
36	что он	6	7
37	человеческой личности	2	7
38	ивана карамазова	8	7
39	и потому	4	7
40	как в	4	7
41	любви к	3	7
42	он сам	3	6
43	так же	5	6
44	в бесах	6	6
45	в русской	2	6
46	то же	7	5
47	я не	2	5
48	в самом	3	5
49	один из	3	5
50	что она	4	5
51	достоевского к	2	5
52	это не	7	5
53	в конце	6	5
54	в духе	4	5
55	достоевский не	5	5
56	по преимуществу	2	5
57	то что	3	5
58	в своей	6	5
59	и его	9	5
60	образ и	2	5
61	в его	10	5
62	и это	3	5
63	что в	7	4
64	что у	4	4
65	том что	4	4
66	себя в	2	4
67	так и	6	4
68	уже не	3	4
69	настасья филипповна	4	4
70	но достоевский	2	3
71	же как	3	3
72	он же	2	3
73	и от	4	3
74	не знал	2	3
75	в образе	3	3
76	в такой	2	3
77	в том	8	3
78	достоевский в	7	3
79	что они	4	3
80	не стоит	2	3
81	достоевским в	2	3
82	жизни в	3	3
83	творчество достоевского	4	3
84	не так	2	3
85	в своих	3	3
86	и на	5	3
87	и с	8	3
88	творчестве достоевского	4	3
89	о том	5	3
90	его в	3	3
91	нет ничего	3	3
92	в россии	2	3
93	с ним	3	3
94	к которому	2	3
95	если бы	4	3
96	достоевского не	8	3
97	до сих	3	3
98	самого достоевского	2	3
99	сих пор	3	3
100	и тогда	2	3
101	тем что	3	3
102	с другим	2	3
103	только в	2	3
104	в творчестве	5	3
105	только с	2	3
106	в чем	4	3
107	место в	3	2
108	уже в	2	2
109	настасье филипповне	4	2
110	быть может	3	2
111	но эта	2	2
112	все время	2	2
113	в братьях	6	2
114	так что	2	2
115	как у	3	2
116	и если	2	2
117	из подполья	6	2
118	на его	4	2
119	хотя и	4	2
120	великом инквизиторе	3	2
121	от этой	2	2
122	по отношению	3	2
123	иваном карамазовым	2	2
124	и других	2	2
125	достоевского и	2	2
126	а в	4	2
127	в основе	2	2
128	герои достоевского	4	2
129	не случайно	2	2
130	эта мысль	2	2
131	между тем	3	2
132	преступление и	2	2
133	о великом	3	2
134	не означает	2	2
135	превращается в	3	2
136	если он	5	2
137	личности в	2	2
138	в дневнике	3	2
139	мы видим	4	2
140	достоевского нет	3	2
141	и что	2	2
142	отношению к	3	2
143	дневнике писателя	2	2
144	вместе с	3	2
145	к самому	2	2
146	бы не	2	2
147	что не	3	2
148	из этой	2	2
149	достоевского в	9	2
150	братьях карамазовых	7	2
151	это все	2	2
152	в которой	2	2
153	ничего не	4	2
154	и поэтому	2	2
