N	3gram	Losev_Dial_4	Vvedenie
1	и т д	15	36
2	для того чтобы	5	20
3	в том что	9	12
4	тем не менее	2	8
5	не может быть	6	8
6	в этом смысле	4	8
7	то же время	6	6
8	в то же	6	6
9	т е в	2	4
10	по крайней мере	7	4
11	что иное как	8	4
12	по сравнению с	2	4
13	само по себе	4	4
14	не что иное	8	4
15	и в этом	3	4
16	в собственном смысле	2	3
17	но в то	2	3
18	сама по себе	5	3
19	и той же	3	2
20	с точки зрения	9	2
21	не в том	4	2
22	точно так же	2	2
23	не говоря уже	3	2
24	вовсе не в	2	2
25	т д все	2	2
26	хотя бы и	2	2
27	есть не что	5	2
28	в чем же	2	2
29	подобно тому как	4	2
30	одной и той	3	2
