N	3gram	Vinokur_St_1	Problema
1	по отношению к	3	19
2	и т п	9	13
3	не может быть	5	11
4	с точки зрения	8	6
5	в данном случае	6	4
6	с другой стороны	6	4
7	то же время	4	3
8	в самом деле	5	3
9	в иных случаях	2	3
10	в то же	4	3
11	с одной стороны	2	3
12	можно было бы	8	3
13	тем не менее	2	3
14	в применении к	3	3
15	на самом деле	6	3
16	в том что	17	3
17	и в области	4	2
18	то или иное	3	2
19	так и в	4	2
20	не только в	4	2
21	того или иного	4	2
22	в этом отношении	7	2
23	в области изучения	2	2
24	но и в	2	2
25	для того чтобы	10	2
