N	2gram	Voloshinov_1	Analitik
1	не только	6	22
2	и в	13	18
3	как и	3	14
4	так и	3	14
5	в этом	2	14
6	но и	3	13
7	и его	12	13
8	том что	2	12
9	и не	8	12
10	при этом	2	11
11	а в	2	10
12	как бы	6	10
13	может быть	8	9
14	что в	3	9
15	а не	2	9
16	в том	2	9
17	своего рода	2	8
18	с другой	2	7
19	в его	7	7
20	отношению к	3	7
21	по отношению	3	7
22	к тому	2	6
23	не в	3	6
24	для него	2	6
25	в их	3	6
26	никогда не	3	5
27	не является	4	5
28	прежде всего	9	5
29	в самом	2	5
30	и т.п	7	5
31	другой стороны	2	5
32	лишь в	4	5
33	между тем	2	5
34	не менее	2	4
35	в одном	3	4
36	и к	2	4
37	в пределах	3	4
38	все же	5	4
39	таким образом	6	4
40	в данном	2	4
41	героя и	2	4
42	уже в	2	3
43	в каждом	4	3
44	не столько	3	3
45	в ее	3	3
46	что они	2	3
47	было бы	4	3
48	в целом	2	3
49	данном случае	2	3
50	как в	2	3
51	все это	4	3
52	то же	4	3
53	еще и	4	3
54	роль в	2	3
55	мы не	4	3
56	с этим	3	3
57	точки зрения	7	3
58	говорить о	3	3
59	во всем	2	3
60	в произведении	2	3
61	могут быть	2	2
62	все эти	2	2
63	в них	2	2
64	не как	3	2
65	в нем	2	2
66	есть не	2	2
67	и ее	2	2
68	в тех	2	2
69	несмотря на	2	2
70	да и	3	2
71	тех пор	4	2
72	одной стороны	2	2
73	в общем	2	2
74	в ней	2	2
75	а также	2	2
76	то что	6	2
77	не может	8	2
78	эстетического объекта	5	2
79	входит в	2	2
80	с одной	2	2
81	те же	2	2
82	самом деле	3	2
83	не мог	2	2
84	с точки	5	2
85	и для	3	2
86	мы можем	4	2
87	тем что	2	2
88	нуждается в	2	2
89	в себе	3	2
90	в искусстве	3	2
91	только в	6	2
92	и т.д	5	2
93	вопроса о	4	2
94	и все	3	2
95	там где	2	2
96	но в	4	2
97	произведения как	4	2
