N	2gram	Berdyaev_N_1	EvropaiC
1	в том	8	31
2	и в	16	24
3	том что	2	20
4	все эти	2	19
5	не может	16	18
6	то что	4	17
7	может быть	7	15
8	в этом	7	12
9	все это	5	11
10	с этим	2	11
11	культуры в	5	10
12	во всех	3	10
13	так и	2	10
14	культуры и	7	10
15	как и	7	9
16	что в	9	9
17	не в	6	8
18	так же	2	8
19	и все	4	8
20	не менее	4	7
21	для этого	2	7
22	к тому	3	7
23	но и	3	7
24	и не	11	7
25	и что	2	7
26	о том	4	7
27	по существу	2	7
28	того чтобы	2	7
29	должна быть	3	6
30	все они	2	6
31	с другой	3	6
32	и на	2	6
33	еще не	3	6
34	в мире	3	6
35	вместе с	2	6
36	и от	2	5
37	что все	2	5
38	у него	2	5
39	другой стороны	2	5
40	и с	2	5
41	потому что	4	5
42	но в	2	5
43	и к	5	5
44	в то	2	5
45	по своему	4	5
46	не только	5	5
47	не будет	7	5
48	и для	4	5
49	лишь в	6	5
50	в себе	2	5
51	как будто	2	5
52	никогда не	6	4
53	это есть	7	4
54	хотя и	2	4
55	должно быть	4	4
56	и культуры	2	4
57	в одну	2	4
58	он не	8	4
59	не есть	3	4
60	хотя бы	2	4
61	же как	2	3
62	с одной	2	3
63	вопрос о	3	3
64	в нем	5	3
65	а в	2	3
66	это не	4	3
67	во имя	15	3
68	в истории	3	3
69	и потому	4	3
70	с тем	3	3
71	можно назвать	2	3
72	прежде всего	4	3
73	в жизни	5	3
74	конечно не	3	3
75	и это	2	3
76	и весь	2	2
77	такой же	2	2
78	одной стороны	2	2
79	том чтобы	2	2
80	к ним	3	2
81	но для	2	2
82	в ней	5	2
83	с ее	5	2
84	каждого человека	2	2
85	что она	2	2
86	не было	4	2
87	истории все	2	2
88	том и	2	2
89	в основе	3	2
90	не будут	2	2
91	в них	4	2
92	и начало	3	2
93	должен быть	5	2
94	одна из	2	2
95	но не	2	2
96	она не	3	2
97	жизни и	8	2
98	как не	8	2
99	приобщиться к	2	2
100	не знает	6	2
101	общества и	2	2
102	есть в	2	2
