N	2gram	Vinokur_St_2	Istorich
1	и в	29	24
2	что он	13	21
3	не только	19	21
4	и т	9	17
5	т е	10	16
6	т д	6	16
7	может быть	2	14
8	не может	2	14
9	в этих	3	13
10	что в	19	13
11	как в	3	12
12	в этом	21	12
13	и здесь	3	12
14	но и	19	11
15	том что	27	10
16	и что	6	10
17	и другие	2	9
18	с другой	4	9
19	не в	4	9
20	все же	6	9
21	о том	17	9
22	потому что	9	9
23	что и	2	8
24	все это	11	8
25	другой стороны	3	8
26	то же	2	8
27	а не	5	8
28	так как	2	8
29	в том	27	7
30	то что	11	7
31	вместе с	7	7
32	таким образом	10	7
33	тем что	3	6
34	с этой	2	6
35	об этом	6	6
36	как и	2	6
37	так же	3	6
38	но не	3	6
39	в нем	4	6
40	он не	9	6
41	того что	5	6
42	во время	2	6
43	только в	2	6
44	как он	2	6
45	что это	3	6
46	не менее	3	5
47	в тех	2	5
48	дело не	2	5
49	так и	9	5
50	ничего не	4	5
51	в русской	5	5
52	там где	2	5
53	но в	8	5
54	на вопрос	3	4
55	никогда не	3	4
56	что у	4	4
57	вовсе не	6	4
58	тем не	2	4
59	по существу	2	4
60	но все	7	4
61	при этом	2	4
62	после того	4	4
63	одной из	3	4
64	своего рода	5	4
65	же как	3	4
66	как бы	5	4
67	за него	2	4
68	в их	3	4
69	если не	2	4
70	и не	9	4
71	не имеет	2	4
72	точки зрения	5	4
73	в данном	2	4
74	с его	2	3
75	не столько	7	3
76	в качестве	5	3
77	в них	2	3
78	но они	2	3
79	раньше чем	4	3
80	в образе	3	3
81	вопрос о	6	3
82	на то	2	3
83	так что	3	3
84	что они	2	3
85	кроме того	4	3
86	кажется что	3	3
87	например в	3	3
88	между прочим	12	3
89	его в	2	3
90	при помощи	4	3
91	сих пор	5	3
92	ее в	2	3
93	что за	2	3
94	и даже	3	3
95	и он	3	3
96	и по	3	3
97	и его	6	3
98	но это	3	3
99	хотя и	4	3
100	связи с	4	3
101	в конце	2	3
102	тогда как	2	3
103	того как	7	3
104	по этому	2	2
105	тому что	7	2
106	того же	2	2
107	вообще не	3	2
108	что собственно	2	2
109	к этому	4	2
110	прежде всего	5	2
111	в то	2	2
112	ни в	3	2
113	в ее	2	2
114	нас не	2	2
115	говорит о	2	2
116	такое же	2	2
117	только о	2	2
118	есть еще	2	2
119	так например	7	2
120	было бы	5	2
121	на его	2	2
122	в самом	7	2
123	и о	4	2
124	ни с	2	2
125	должно было	3	2
126	в котором	7	2
127	и др	2	2
128	на себя	3	2
129	со стороны	2	2
130	связь с	2	2
131	не по	2	2
132	в особенности	2	2
133	что такое	2	2
134	на этот	2	2
135	по его	3	2
136	в которой	11	2
137	как это	2	2
138	его не	3	2
139	ли и	2	2
140	что этот	2	2
141	которые не	3	2
142	сказать что	2	2
143	из них	3	2
144	в одной	2	2
145	с этим	3	2
146	но он	3	2
147	и на	6	2
148	они не	2	2
149	этот вопрос	2	2
150	и дело	2	2
151	в один	2	2
152	все эти	2	2
153	и это	2	2
154	должен был	4	2
155	до сих	6	2
