N	2gram	Losev_Vlad_3	formyVre
1	и в	40	50
2	то есть	24	33
3	в этом	16	25
4	в нем	3	24
5	и его	10	16
6	прежде всего	10	15
7	и не	25	14
8	как мы	8	14
9	вовсе не	13	13
10	как раз	10	13
11	в его	14	13
12	по существу	4	12
13	так и	6	12
14	человека и	3	11
15	может быть	8	11
16	таким образом	11	11
17	мы уже	5	11
18	то же	4	11
19	и как	7	10
20	но в	4	10
21	в конце	12	9
22	в том	18	9
23	же время	2	9
24	все эти	5	9
25	в то	7	9
26	не только	25	9
27	с его	2	9
28	роль в	2	9
29	ничего не	5	9
30	в самом	4	8
31	но и	18	8
32	и на	6	8
33	как и	7	8
34	того же	2	8
35	ни в	10	8
36	не было	5	7
37	это время	2	7
38	для себя	5	7
39	все же	4	6
40	это не	3	6
41	в дальнейшем	4	6
42	в их	2	6
43	не может	14	6
44	так же	8	6
45	в результате	4	6
46	так как	7	6
47	у него	24	6
48	с этим	2	6
49	и все	4	6
50	в жизни	2	6
51	связи с	2	6
52	то что	28	6
53	что в	17	5
54	не в	3	5
55	в связи	3	5
56	в разных	2	5
57	только и	5	5
58	время как	2	5
59	точки зрения	13	5
60	но все	3	5
61	если бы	3	5
62	отнюдь не	5	5
63	но не	4	5
64	еще не	4	5
65	наряду с	2	5
66	он не	8	5
67	в основном	4	5
68	и речи	2	5
69	того чтобы	3	5
70	для того	2	5
71	и у	3	5
72	но на	2	4
73	в своем	8	4
74	мы и	2	4
75	кроме того	6	4
76	до конца	4	4
77	в котором	4	4
78	могло быть	2	4
79	не имеет	4	4
80	потому что	11	4
81	и с	9	4
82	в ней	5	4
83	нет ничего	2	4
84	то время	4	4
85	вполне понятно	3	4
86	или как	4	4
87	жизнь и	3	4
88	том что	18	4
89	и для	3	4
90	и то	9	4
91	только в	13	4
92	и это	6	4
93	здесь не	3	4
94	не могут	2	3
95	в этих	2	3
96	в отношении	5	3
97	к тому	7	3
98	да и	6	3
99	с тем	7	3
100	при этом	3	3
101	не имеют	2	3
102	себе и	2	3
103	хотя и	7	3
104	в виду	3	3
105	здесь нет	2	3
106	отношения к	5	3
107	этом отношении	2	3
108	с одной	3	3
109	именно в	3	3
110	в одно	2	3
111	друг друга	2	3
112	а в	7	3
113	сказать что	12	3
114	самого человека	3	3
115	в начале	2	3
116	его в	2	3
117	в одном	5	3
118	ни к	2	3
119	был бы	3	3
120	к этому	2	3
121	есть не	2	3
122	же в	3	3
123	в качестве	3	3
124	одно и	2	3
125	одной из	2	3
126	в сущности	2	3
127	по преимуществу	2	3
128	и потому	10	3
129	только к	2	3
130	что и	7	3
131	вместе с	7	3
132	только на	5	3
133	а не	8	3
134	мы не	2	3
135	в таком	3	3
136	во всяком	3	3
137	в себе	9	3
138	уже в	3	2
139	совсем не	5	2
140	мы будем	2	2
141	же как	3	2
142	никогда не	11	2
143	в течение	4	2
144	в нашем	2	2
145	с другой	5	2
146	само собой	3	2
147	что все	7	2
148	вопрос о	4	2
149	а только	7	2
150	для нас	5	2
151	тому же	5	2
152	с их	3	2
153	в глаза	4	2
154	смысле слова	6	2
155	для него	8	2
156	одной стороны	3	2
157	процесс в	3	2
158	но для	3	2
159	не о	2	2
160	есть только	9	2
161	в целом	2	2
162	не к	2	2
163	ни с	3	2
164	еще и	18	2
165	к своему	2	2
166	можно только	2	2
167	мы находим	2	2
168	всякого рода	3	2
169	того что	7	2
170	и даже	6	2
171	и по	2	2
172	или не	3	2
173	также и	17	2
174	же и	2	2
175	той или	2	2
176	и еще	2	2
177	во всем	6	2
178	в истории	5	2
179	что мы	2	2
180	мы должны	4	2
181	все то	3	2
182	сколько угодно	2	2
183	во многом	2	2
184	не является	2	2
185	здесь и	2	2
186	не как	2	2
187	раз и	8	2
188	по себе	6	2
189	стороны и	2	2
190	и к	2	2
191	об этом	6	2
192	в чем	3	2
193	чем в	4	2
194	здесь в	4	2
195	было бы	4	2
196	в это	2	2
197	но оно	2	2
198	а также	8	2
199	в этот	2	2
200	на почве	2	2
201	оно не	3	2
202	в своей	9	2
203	как бы	3	2
204	быть и	2	2
205	ее в	3	2
206	даже не	3	2
207	оказывается что	2	2
208	совершенно не	2	2
209	в отличие	3	2
210	разного рода	3	2
211	были в	2	2
212	если мы	4	2
213	уже не	9	2
214	и эта	3	2
215	смысле но	3	2
216	с точки	6	2
217	хотя бы	6	2
218	в которой	2	2
219	собой разумеется	2	2
220	в данном	5	2
221	если они	2	2
222	от этого	2	2
223	тем что	5	2
224	на себя	2	2
225	в каком	4	2
226	и вообще	3	2
227	далеко не	3	2
228	дело в	5	2
229	отличие от	3	2
