N	2gram	Propp_Isto_1	Myshleni
1	таким образом	8	26
2	в том	9	24
3	и в	28	23
4	том что	7	21
5	в целом	2	20
6	то что	9	17
7	в этом	8	17
8	так же	7	16
9	не только	12	16
10	того что	4	15
11	что в	12	14
12	может быть	25	14
13	но и	10	14
14	как и	4	14
15	в его	5	14
16	не может	15	12
17	как бы	2	11
18	сказать что	5	11
19	представляет собой	4	11
20	с другой	6	10
21	прежде всего	10	10
22	в качестве	5	9
23	одной стороны	4	9
24	другой стороны	5	9
25	и не	9	9
26	между тем	2	9
27	и с	4	9
28	вместе с	6	9
29	самого начала	2	8
30	с самого	2	8
31	с одной	4	8
32	и на	4	8
33	в основе	4	8
34	то же	12	8
35	вопрос о	5	7
36	как уже	2	7
37	в этой	6	7
38	по отношению	3	7
39	в то	3	7
40	так как	6	7
41	с тем	4	7
42	что он	10	7
43	отношению к	3	7
44	мы не	10	7
45	в другом	3	7
46	столь же	2	6
47	же как	2	6
48	и тем	2	6
49	все это	4	6
50	именно в	3	6
51	могли бы	3	6
52	потому что	4	6
53	с этим	4	6
54	в силу	5	6
55	о том	9	6
56	связь между	3	6
57	и его	3	6
58	тем что	3	6
59	в себе	2	6
60	только в	11	6
61	в какой	3	5
62	перед нами	3	5
63	то время	3	5
64	и как	2	5
65	на то	4	5
66	по себе	3	5
67	для этого	3	5
68	что мы	7	5
69	мы должны	13	5
70	бы в	2	5
71	если бы	8	5
72	но в	8	5
73	между собой	4	5
74	а затем	2	5
75	по своей	2	5
76	и что	10	5
77	он не	2	5
78	так и	9	5
79	как мы	3	5
80	из этого	2	5
81	но не	5	4
82	не в	9	4
83	в пользу	2	4
84	при этом	3	4
85	друг с	4	4
86	что она	5	4
87	время как	3	4
88	в котором	3	4
89	по мере	2	4
90	в свете	2	4
91	все эти	4	4
92	их в	5	4
93	это положение	2	4
94	для всех	2	4
95	в одном	5	4
96	к этому	2	4
97	по существу	5	4
98	было бы	7	4
99	к тому	6	4
100	должен быть	3	4
101	сих пор	5	4
102	как в	2	4
103	приводит к	2	4
104	во всей	2	4
105	как раз	2	4
106	а с	2	4
107	хотя бы	4	4
108	мы видим	11	4
109	с другом	3	4
110	до сих	5	4
111	только для	2	3
112	я не	3	3
113	что это	8	3
114	в своем	5	3
115	и от	2	3
116	в такой	2	3
117	показывает что	3	3
118	что они	5	3
119	об этой	2	3
120	и мы	2	3
121	том чтобы	2	3
122	и если	2	3
123	в их	3	3
124	то и	2	3
125	показывают что	5	3
126	отношения к	2	3
127	вовсе не	2	3
128	этот вопрос	7	3
129	во всем	3	3
130	же самое	3	3
131	как он	2	3
132	тогда когда	2	3
133	превращается в	4	3
134	об этом	4	3
135	во всех	2	3
136	все же	10	3
137	должны были	2	3
138	а не	15	3
139	из которых	3	3
140	на этот	2	3
141	можно было	5	3
142	он в	2	3
143	могут быть	4	3
144	связи с	4	3
145	ответ на	2	3
146	детей в	3	3
147	в области	2	3
148	ничего не	2	3
149	за собой	2	2
150	на вопрос	2	2
151	в частности	2	2
152	никогда не	14	2
153	точку зрения	3	2
154	или даже	3	2
155	в зависимости	2	2
156	но все	4	2
157	на этом	3	2
158	для него	2	2
159	вслед за	6	2
160	был бы	2	2
161	один из	4	2
162	не с	3	2
163	мы видели	2	2
164	с той	2	2
165	эта мысль	3	2
166	и вот	2	2
167	и даже	4	2
168	должно быть	2	2
169	действия и	3	2
170	а в	7	2
171	что этот	2	2
172	в этих	7	2
173	на нее	2	2
174	как это	3	2
175	от этого	2	2
176	всех этих	2	2
177	поэтому в	2	2
178	он должен	2	2
179	в стороне	3	2
180	к сожалению	3	2
181	ясно что	2	2
182	на первый	2	2
183	и эти	3	2
184	в ее	2	2
185	из всех	2	2
186	зависимости от	2	2
187	указывает на	2	2
188	связано с	2	2
189	и потому	2	2
190	даже в	4	2
191	всего в	2	2
192	когда он	6	2
193	в современной	3	2
194	с ней	2	2
195	ее в	5	2
196	на него	4	2
197	мы хотим	2	2
198	того как	3	2
199	в ту	2	2
200	ключ к	3	2
201	если мы	3	2
202	уже не	3	2
203	и пр	4	2
204	между ними	2	2
205	целое и	2	2
206	воздействовать на	2	2
207	различные формы	2	2
208	можно назвать	2	2
209	в виде	2	2
210	как таковая	2	2
211	что если	2	2
212	представляют собой	6	2
213	дело в	3	2
214	там где	4	2
