N	2gram	Voloshinov_1	formyVre
1	и в	15	46
2	в этом	13	22
3	прежде всего	11	14
4	вовсе не	2	13
5	и его	15	12
6	только в	6	11
7	не только	5	11
8	во всех	8	11
9	во время	5	10
10	в том	4	10
11	как бы	11	10
12	точки зрения	13	10
13	но в	9	10
14	у него	3	9
15	не в	4	9
16	мы уже	5	9
17	вместе с	4	9
18	но и	4	9
19	и не	16	9
20	и для	2	9
21	как и	6	8
22	в его	9	8
23	жизни и	5	8
24	то же	7	8
25	того чтобы	2	8
26	с точки	10	8
27	потому что	4	8
28	в основном	2	8
29	всех этих	5	7
30	в одном	3	7
31	может быть	13	7
32	то что	10	7
33	так и	10	7
34	и на	3	7
35	так сказать	3	7
36	никогда не	7	6
37	и все	4	6
38	при этом	7	6
39	как мы	10	6
40	еще не	7	6
41	его в	8	6
42	все же	5	6
43	все это	5	6
44	те же	4	6
45	человека в	3	6
46	и наконец	10	6
47	в основе	3	6
48	так как	9	6
49	и с	7	6
50	в своем	2	5
51	с этим	6	5
52	связанные с	2	5
53	в дальнейшем	2	5
54	в то	6	5
55	но не	5	5
56	он не	4	5
57	и др	8	5
58	в нем	4	5
59	что в	6	5
60	все эти	9	5
61	и у	6	5
62	должно быть	2	5
63	отнюдь не	2	4
64	жизни в	3	4
65	из этих	4	4
66	человека и	6	4
67	же время	5	4
68	с ним	12	4
69	том что	5	4
70	есть и	2	4
71	его жизни	6	4
72	конечно не	3	4
73	к смерти	4	4
74	как в	3	4
75	в эпоху	3	4
76	мир в	2	4
77	отношения к	2	4
78	еще более	2	4
79	а не	2	4
80	их в	2	4
81	к себе	3	4
82	в себе	4	4
83	в истории	3	4
84	и было	2	4
85	и смерть	3	4
86	все его	2	4
87	не было	4	3
88	связанных с	4	3
89	борьба с	3	3
90	себя и	3	3
91	все они	2	3
92	не является	3	3
93	а следовательно	2	3
94	к этому	7	3
95	по всему	2	3
96	с помощью	9	3
97	к тому	4	3
98	что он	8	3
99	следовательно и	2	3
100	в качестве	2	3
101	в большинстве	4	3
102	для него	5	3
103	тот же	5	3
104	в этот	4	3
105	что и	2	3
106	слова и	2	3
107	ее в	2	3
108	отношение к	7	3
109	но эти	2	3
110	и другие	2	3
111	таким образом	21	3
112	в совершенно	2	3
113	уже не	5	3
114	того что	2	3
115	и даже	2	3
116	и по	5	3
117	и прежде	5	3
118	а в	6	3
119	роль в	6	3
120	на протяжении	5	3
121	в этих	2	3
122	большинстве случаев	5	3
123	очень важный	3	2
124	на этом	5	2
125	все основные	4	2
126	и есть	2	2
127	это не	2	2
128	в одной	2	2
129	его рождения	3	2
130	что все	5	2
131	по себе	2	2
132	можно сказать	4	2
133	в отношении	2	2
134	он был	3	2
135	как его	2	2
136	именно в	3	2
137	у нас	3	2
138	в этой	5	2
139	совсем не	5	2
140	все что	9	2
141	между ними	2	2
142	смысле слова	2	2
143	до конца	5	2
144	и пр	9	2
145	она не	2	2
146	было бы	6	2
147	со всеми	3	2
148	и к	7	2
149	и о	3	2
150	в заключение	3	2
151	и потому	8	2
152	явлений и	2	2
153	жизни но	2	2
154	один из	4	2
155	сих пор	3	2
156	мы видели	5	2
157	по ту	3	2
158	быть и	2	2
159	и до	3	2
160	находится в	3	2
161	и т.п	2	2
162	не может	13	2
163	и только	4	2
164	этом отношении	2	2
165	чем не	2	2
166	в себя	5	2
167	и вот	6	2
168	человек не	2	2
169	как на	3	2
170	рядом с	2	2
171	значение для	2	2
172	в данном	3	2
173	но это	2	2
174	могут быть	6	2
175	не знает	3	2
176	которой он	2	2
177	это новое	2	2
178	далеко не	4	2
179	большое значение	2	2
180	и становится	2	2
181	во всяком	4	2
182	до сих	3	2
