N	2gram	Bakhtin_fo_1	RusskieA
1	и в	50	36
2	не только	9	22
3	что в	5	19
4	том что	4	19
5	в том	9	17
6	но и	8	16
7	так как	6	15
8	и другие	5	13
9	в этом	25	12
10	в других	9	11
11	в этот	2	10
12	это не	6	10
13	как мы	14	10
14	как и	8	10
15	и т	8	10
16	вместе с	3	10
17	и на	8	10
18	потому что	4	10
19	об этом	2	9
20	а в	3	9
21	с тем	3	8
22	может быть	11	8
23	один из	3	8
24	и по	2	8
25	что и	3	7
26	так и	12	7
27	и других	3	7
28	и не	14	6
29	для нас	2	6
30	при этом	3	6
31	в них	4	6
32	уже не	2	6
33	таким образом	11	6
34	мы не	3	6
35	все это	4	6
36	не имеет	4	6
37	то что	6	6
38	все же	6	5
39	как бы	2	5
40	в течение	2	5
41	и у	5	5
42	в которых	2	5
43	одно из	3	5
44	как в	6	5
45	к этому	3	4
46	к тому	3	4
47	по существу	12	4
48	одна из	2	4
49	еще не	5	4
50	связи с	6	4
51	и др	9	4
52	во всех	6	4
53	в некоторых	2	4
54	и их	8	4
55	в их	6	4
56	не может	6	4
57	в связи	5	4
58	входит в	3	4
59	того что	2	4
60	тем что	2	4
61	только в	4	4
62	к жизни	2	3
63	для них	3	3
64	в этих	3	3
65	в качестве	3	3
66	в своем	4	3
67	но все	5	3
68	но они	3	3
69	в одном	3	3
70	в свою	2	3
71	и к	2	3
72	в это	2	3
73	только на	3	3
74	к ним	2	3
75	в основном	5	3
76	а также	2	3
77	в честь	2	3
78	этого момента	2	3
79	в разных	5	3
80	то же	11	3
81	всякого рода	2	3
82	с точки	2	3
83	так же	6	3
84	и те	3	3
85	ничего не	9	3
86	их в	3	3
87	их и	2	3
88	точки зрения	5	3
89	то есть	33	3
90	далеко не	2	3
91	связаны с	3	3
92	в дом	2	2
93	существенного значения	2	2
94	не было	7	2
95	всех этих	5	2
96	они были	2	2
97	в частности	6	2
98	могут быть	5	2
99	в нашем	2	2
100	его и	2	2
101	между собой	4	2
102	к другому	2	2
103	с этим	6	2
104	и потому	3	2
105	в образе	5	2
106	значение и	3	2
107	в различных	2	2
108	в нем	24	2
109	у него	6	2
110	в жизни	6	2
111	его от	2	2
112	и как	10	2
113	в дальнейшем	6	2
114	мы видим	3	2
115	их к	2	2
116	но не	5	2
117	быть и	2	2
118	чтобы они	4	2
119	до конца	4	2
120	не были	2	2
121	отнюдь не	5	2
122	чем в	2	2
123	и всей	2	2
124	например в	6	2
125	связь между	2	2
126	имеет место	3	2
127	том же	2	2
128	так называемый	2	2
129	в ней	4	2
130	в его	13	2
131	друг к	2	2
132	и с	4	2
133	на этой	4	2
134	в целом	2	2
135	к другу	2	2
136	и до	5	2
137	но она	2	2
138	природы и	2	2
139	как по	2	2
140	этого времени	2	2
141	в особенности	9	2
142	все эти	9	2
143	а мы	2	2
144	а не	3	2
145	и для	4	2
146	с ним	2	2
147	или в	3	2
148	хотя и	3	2
149	между двумя	6	2
150	себя и	3	2
151	к ней	2	2
152	на себя	2	2
153	это время	7	2
154	но в	10	2
155	мы должны	2	2
156	как он	2	2
157	там где	2	2
158	в более	2	2
