N	2gram	Propp_Isto_4	Analitik
1	в тексте	2	24
2	тогда как	4	19
3	в этом	7	18
4	в частности	2	16
5	и в	26	16
6	не только	15	16
7	так и	10	15
8	как и	7	14
9	в том	3	12
10	но и	12	12
11	и не	9	12
12	том что	3	12
13	в качестве	7	11
14	могут быть	6	10
15	как бы	3	10
16	при этом	3	10
17	а не	6	10
18	лишь в	2	9
19	и даже	4	9
20	в этой	2	9
21	ничего не	5	9
22	в данном	3	8
23	в целом	2	8
24	не случайно	2	8
25	представляет собой	2	8
26	в себе	2	7
27	то что	16	7
28	о том	4	7
29	а также	3	7
30	с другой	4	6
31	и на	2	6
32	может быть	14	6
33	как это	3	6
34	но в	5	6
35	говорит о	2	5
36	данном случае	3	5
37	на себя	4	5
38	не менее	2	4
39	в своем	2	4
40	у него	5	4
41	этом случае	3	4
42	уже не	5	4
43	не в	5	4
44	но не	5	4
45	и тем	2	4
46	как в	7	4
47	все это	2	4
48	не может	6	4
49	на этом	2	4
50	и его	10	4
51	то же	8	4
52	хотя и	2	4
53	между двумя	12	4
54	он в	4	4
55	только в	3	4
56	содержит в	2	3
57	никогда не	2	3
58	этого слова	2	3
59	что на	2	3
60	ему в	2	3
61	тем не	2	3
62	его от	2	3
63	не мог	3	3
64	так что	2	3
65	есть в	2	3
66	было бы	2	3
67	и если	3	3
68	мы имеем	7	3
69	на его	3	3
70	и за	2	3
71	или в	3	3
72	что и	9	3
73	из них	2	3
74	если бы	2	3
75	из трех	3	3
76	на смену	3	3
77	а в	8	3
78	как мы	5	3
79	с ними	5	3
80	и то	6	3
81	тем что	5	3
82	попадает в	3	3
83	и все	2	3
84	а как	2	2
85	того что	2	2
86	он же	2	2
87	в одном	5	2
88	к этому	5	2
89	вовсе не	4	2
90	в одну	2	2
91	по себе	2	2
92	на то	3	2
93	к своему	3	2
94	его как	2	2
95	а затем	3	2
96	по существу	3	2
97	все что	4	2
98	превращается в	7	2
99	что в	14	2
100	так например	2	2
101	от своего	3	2
102	она не	3	2
103	еще не	6	2
104	о чем	3	2
105	такого рода	2	2
106	в своей	4	2
107	нас к	7	2
108	е к	2	2
109	в роли	2	2
110	в таких	2	2
111	даже в	4	2
112	не есть	2	2
113	с той	2	2
114	себя в	2	2
115	и их	2	2
116	вместе с	6	2
117	дело не	2	2
118	на него	3	2
119	что она	3	2
120	от которого	2	2
121	другой стороны	4	2
122	таким образом	10	2
123	на котором	3	2
124	т е	18	2
125	и наоборот	2	2
126	те же	3	2
127	но эта	4	2
128	этих случаях	8	2
129	на этот	2	2
130	и он	3	2
131	не имеет	3	2
132	так же	18	2
133	и во	2	2
134	он не	7	2
135	в его	5	2
136	его в	9	2
137	представляют собой	4	2
138	в этих	7	2
139	собой в	2	2
140	сказать что	2	2
