N	2gram	Propp_Isto_4	VelikijI
1	и не	9	20
2	и в	26	16
3	то что	16	9
4	так как	9	9
5	еще не	6	8
6	в истории	2	8
7	что они	6	7
8	на земле	3	7
9	а не	6	7
10	не есть	2	6
11	хотя и	2	5
12	как бы	3	5
13	но и	12	5
14	все это	2	5
15	что есть	2	5
16	того что	2	5
17	на себя	4	5
18	и есть	2	4
19	в образе	3	4
20	что он	10	4
21	в нем	2	4
22	как и	7	4
23	все что	4	4
24	что мы	3	4
25	так и	10	4
26	потому что	6	4
27	в этом	7	4
28	и все	2	4
29	в его	5	4
30	должна быть	2	3
31	что в	14	3
32	в этих	7	3
33	превращается в	7	3
34	ни в	2	3
35	в том	3	3
36	не в	5	3
37	но это	3	3
38	что я	2	3
39	никогда не	2	3
40	то это	5	3
41	что и	9	3
42	в своей	4	3
43	от которого	2	3
44	и они	2	3
45	лишь в	2	3
46	и что	5	3
47	не имеет	3	3
48	хотя бы	2	3
49	их в	7	3
50	все эти	3	3
51	но в	5	3
52	не могут	2	2
53	с тем	2	2
54	его и	2	2
55	это не	5	2
56	его к	3	2
57	для нас	3	2
58	том что	3	2
59	одна из	2	2
60	от него	2	2
61	но не	5	2
62	не к	2	2
63	это мы	2	2
64	конечно не	2	2
65	земли и	2	2
66	так много	2	2
67	и во	2	2
68	не только	15	2
69	но мы	3	2
70	и т	27	2
71	и за	2	2
72	на том	2	2
73	в форме	2	2
74	т д	24	2
75	тем что	5	2
76	уже не	5	2
77	а в	8	2
78	и то	6	2
79	могут быть	6	2
80	только в	3	2
