N	2gram	Vygotskiy__5	Myslijsy
1	потому что	21	33
2	то что	26	29
3	может быть	9	26
4	таким образом	19	24
5	в том	18	23
6	и в	16	23
7	в этом	25	23
8	и не	12	18
9	что в	16	17
10	при этом	4	15
11	только в	10	15
12	как и	8	14
13	то же	8	14
14	того что	16	14
15	так как	16	14
16	если бы	8	13
17	том что	15	12
18	а не	10	12
19	по себе	7	11
20	что я	2	11
21	но и	6	11
22	не в	6	11
23	не может	18	11
24	и потому	2	10
25	что мы	4	10
26	по отношению	12	10
27	не только	16	10
28	тем что	5	10
29	мы можем	6	10
30	не есть	4	9
31	между тем	3	9
32	в своем	5	8
33	было бы	10	8
34	тогда когда	5	8
35	то это	2	8
36	отношению к	12	8
37	мы не	3	8
38	сказать что	13	8
39	о том	8	8
40	но в	6	8
41	с тем	3	7
42	по мере	2	7
43	это не	4	7
44	в нем	7	7
45	что и	3	7
46	в силу	10	7
47	и что	12	7
48	очевидно что	2	7
49	вовсе не	2	7
50	могут быть	4	7
51	как в	5	7
52	мысли и	5	7
53	мы говорим	2	7
54	с этим	3	7
55	что если	4	6
56	и к	2	6
57	для того	14	6
58	вместе с	4	6
59	того как	5	6
60	в которой	5	6
61	так и	7	6
62	так что	4	5
63	само по	2	5
64	для него	5	5
65	таким же	3	5
66	в его	11	5
67	как бы	5	5
68	к нему	3	5
69	этом случае	3	5
70	все это	2	5
71	не менее	3	5
72	находится в	2	5
73	должно быть	8	5
74	а в	3	5
75	с ним	5	5
76	во всяком	2	5
77	тем более	4	5
78	образом в	2	5
79	говорить о	3	5
80	и то	4	5
81	один и	3	5
82	не имеет	4	5
83	не то	4	5
84	на вопрос	5	4
85	и более	3	4
86	что все	6	4
87	что он	25	4
88	есть не	2	4
89	предположить что	2	4
90	до сих	3	4
91	можно сказать	5	4
92	и может	3	4
93	по поводу	2	4
94	в одном	3	4
95	от того	3	4
96	в котором	2	4
97	и тем	3	4
98	сих пор	3	4
99	на основании	2	4
100	только на	2	4
101	то и	2	4
102	в истории	2	4
103	в той	6	4
104	тем самым	8	4
105	того чтобы	17	4
106	хотя бы	5	4
107	так же	15	4
108	точки зрения	18	4
109	мысли но	3	4
110	в то	5	4
111	же самое	4	4
112	могли бы	6	4
113	его в	2	4
114	и с	3	4
115	до того	2	3
116	только не	3	3
117	и есть	7	3
118	к которым	2	3
119	никогда не	5	3
120	что между	4	3
121	связи с	3	3
122	в этих	3	3
123	в них	2	3
124	что мысль	3	3
125	в смысле	3	3
126	именно в	4	3
127	мысль что	4	3
128	но это	3	3
129	к одному	2	3
130	переход от	7	3
131	еще не	4	3
132	в действительности	3	3
133	и из	2	3
134	к тому	6	3
135	на его	2	3
136	в самом	4	3
137	и следовательно	6	3
138	в виду	2	3
139	и другим	2	3
140	и их	4	3
141	в процессе	13	3
142	только что	5	3
143	языка и	6	3
144	той же	4	3
145	все эти	4	3
146	все равно	2	3
147	что у	2	3
148	те же	2	3
149	самом деле	3	3
150	должны быть	2	3
151	и по	4	3
152	и на	6	3
153	это есть	4	3
154	в мысли	6	3
155	этот вопрос	6	3
156	ответить на	4	3
157	то в	3	3
158	их в	2	3
159	связанная с	2	3
160	ту же	2	3
161	мы его	4	3
162	с точки	9	3
163	что эти	2	3
164	в первом	3	3
165	на нее	2	3
166	и тот	3	3
167	из сказанного	2	3
168	тому как	4	2
169	только для	2	2
170	я не	2	2
171	не могут	4	2
172	самого начала	5	2
173	котором она	2	2
174	состоит в	6	2
175	и как	3	2
176	из нее	5	2
177	тому что	5	2
178	все что	2	2
179	в состоянии	4	2
180	столь же	2	2
181	с другой	4	2
182	есть процесс	2	2
183	вопрос о	12	2
184	в различных	2	2
185	отношение к	11	2
186	и здесь	2	2
187	у нас	2	2
188	такое же	2	2
189	чтобы понять	2	2
190	из этого	2	2
191	мы и	5	2
192	чем в	3	2
193	мы могли	7	2
194	по своему	3	2
195	имеет свою	3	2
196	отношения между	3	2
197	но что	3	2
198	в свою	4	2
199	тот же	5	2
200	в сущности	13	2
201	к ним	2	2
202	в ней	2	2
203	он не	8	2
204	эту мысль	2	2
205	никто не	2	2
206	не с	2	2
207	идет от	2	2
208	нам кажется	2	2
209	об отношении	2	2
210	мысли как	2	2
211	указывает на	2	2
212	что она	2	2
213	отношений между	2	2
214	уже по	4	2
215	развития и	11	2
216	как она	3	2
217	мы видим	4	2
218	происходит в	2	2
219	мысли от	2	2
220	если мы	7	2
221	еще более	5	2
222	же мы	2	2
223	всем остальным	2	2
224	мысли которая	2	2
225	образом что	2	2
226	как мы	10	2
227	и другое	4	2
228	из которых	3	2
229	на этот	4	2
230	и даже	2	2
231	что значит	3	2
232	и его	3	2
233	можно было	5	2
234	в своих	2	2
235	мы различаем	2	2
236	в более	2	2
237	что только	2	2
238	может иметь	2	2
239	из виду	2	2
240	подобно тому	4	2
241	на который	2	2
242	к его	3	2
243	своем развитии	5	2
244	бы в	4	2
245	мы должны	8	2
246	но мы	5	2
247	мысли в	4	2
248	в области	12	2
249	которые не	2	2
