N	2gram	Medvedev_U_1	Tvorches
1	и в	14	21
2	в то	3	15
3	в его	2	13
4	то же	5	13
5	как и	3	12
6	же время	3	12
7	с его	2	11
8	том что	2	11
9	все это	5	10
10	то что	7	8
11	в том	2	7
12	не только	10	7
13	и не	8	7
14	но в	3	7
15	что он	2	6
16	для него	3	6
17	в этом	7	6
18	это уже	2	5
19	по нашему	3	5
20	а не	10	5
21	но это	2	5
22	может быть	6	5
23	в этой	4	5
24	все же	3	5
25	таким образом	2	5
26	нашему мнению	3	5
27	хотя бы	5	5
28	только в	2	5
29	прежде всего	8	4
30	конечном счете	4	4
31	одним из	2	4
32	в конечном	4	4
33	в своей	3	4
34	не может	7	4
35	это не	3	4
36	не случайно	2	4
37	на эту	2	4
38	с другой	4	3
39	что все	2	3
40	но не	2	3
41	в самом	2	3
42	но и	4	3
43	в их	4	3
44	вот почему	7	3
45	и с	2	3
46	в россии	4	3
47	а как	2	2
48	в частности	3	2
49	не столько	2	2
50	по крайней	2	2
51	что и	2	2
52	крайней мере	2	2
53	надо было	2	2
54	не в	2	2
55	вряд ли	3	2
56	что она	2	2
57	самом деле	2	2
58	и у	2	2
59	могут быть	2	2
60	в себе	2	2
