N	3gram	Potebnia_M_1	KulturaY
1	и т п	2	18
2	в том что	13	15
3	для того чтобы	2	15
4	и т д	4	14
5	с точки зрения	3	9
6	по отношению к	13	8
7	только потому что	2	6
8	с другой стороны	5	6
9	по крайней мере	2	5
10	не в том	4	4
11	тем не менее	6	4
12	по мере того	3	3
13	только в том	6	3
14	мере того как	3	3
15	в свою очередь	4	3
16	не может быть	9	3
17	в этом смысле	4	3
18	и того же	2	2
19	то же время	3	2
20	одного и того	2	2
21	мы увидим что	3	2
22	к тому что	2	2
23	на язык как	3	2
24	так и в	3	2
25	потому что не	4	2
26	что язык есть	5	2
27	в то же	3	2
28	и потому что	2	2
29	в том и	2	2
30	а в том	3	2
