N	2gram	Propp_Isto_7	Poddanst
1	не только	21	17
2	и в	24	14
3	и не	4	12
4	в этом	12	10
5	то же	8	9
6	в том	7	9
7	в качестве	3	9
8	но в	5	9
9	в то	2	7
10	только в	6	7
11	но и	11	6
12	было бы	2	6
13	с другой	9	5
14	не в	9	5
15	и о	2	5
16	может быть	14	5
17	в котором	2	4
18	то что	7	4
19	что в	13	4
20	не может	14	4
21	а в	10	4
22	том что	10	4
23	мы должны	4	4
24	и если	3	4
25	в русской	5	4
26	как бы	4	4
27	в нем	6	3
28	и т	17	3
29	это не	10	3
30	с одной	5	3
31	т е	16	3
32	прежде всего	2	3
33	мы не	4	3
34	но не	6	3
35	точки зрения	4	3
36	что мы	3	3
37	тот же	2	3
38	одной стороны	5	3
39	потому что	9	3
40	хотя и	3	3
41	не менее	5	2
42	и тем	2	2
43	во всех	7	2
44	тем более	2	2
45	со стороны	2	2
46	в них	3	2
47	все это	8	2
48	не столько	3	2
49	с этим	2	2
50	между прочим	3	2
51	думать что	2	2
52	стороны и	2	2
53	а не	8	2
54	того что	6	2
55	для нас	6	2
56	в ее	2	2
57	если в	2	2
58	одна из	7	2
59	в силу	2	2
60	из них	2	2
61	например в	3	2
62	и это	2	2
63	что из	2	2
