N	2gram	Medvedev_F_3	Problema
1	и в	27	30
2	в своей	6	22
3	то что	8	18
4	не только	9	18
5	том что	4	17
6	в этом	18	17
7	и даже	2	14
8	но и	10	13
9	таким образом	18	13
10	потому что	7	13
11	в том	7	12
12	в его	7	12
13	и не	30	12
14	о том	4	12
15	в своем	2	11
16	для нас	3	10
17	точки зрения	16	10
18	в этой	2	10
19	на земле	2	9
20	все же	6	9
21	сказать что	3	9
22	но в	6	9
23	только в	8	9
24	и все	8	9
25	в конце	3	8
26	вовсе не	28	8
27	художественного творчества	2	8
28	никак не	3	8
29	с точки	14	8
30	никогда не	5	7
31	что он	6	7
32	у нас	3	7
33	как и	14	7
34	в дальнейшем	5	7
35	связи с	5	7
36	но не	5	7
37	может быть	25	7
38	вместе с	6	7
39	так и	21	7
40	в связи	4	7
41	не в	12	7
42	здесь не	2	7
43	в результате	5	7
44	с другой	6	6
45	прежде всего	4	6
46	можно сказать	3	6
47	уже не	3	6
48	и как	4	6
49	и для	6	6
50	как бы	8	6
51	конце концов	2	6
52	в нем	15	6
53	что и	2	6
54	другой стороны	5	6
55	и что	3	6
56	и его	19	6
57	и на	3	6
58	его в	7	6
59	так как	9	6
60	не менее	7	5
61	нисколько не	2	5
62	с тем	7	5
63	что в	8	5
64	тем не	2	5
65	так же	9	5
66	в самом	11	5
67	и их	5	5
68	еще в	3	5
69	не может	24	5
70	а не	17	5
71	и притом	2	5
72	что этот	2	5
73	он и	3	5
74	как раз	8	5
75	и с	3	5
76	мы можем	4	5
77	отнюдь не	8	4
78	жизни в	3	4
79	как о	2	4
80	тогда когда	4	4
81	человека и	2	4
82	ни в	8	4
83	именно для	2	4
84	ясно что	3	4
85	в смысле	4	4
86	при этом	8	4
87	того же	3	4
88	было бы	6	4
89	в себе	3	4
90	в то	7	4
91	из этого	4	4
92	учение о	2	3
93	в самой	2	3
94	все время	6	3
95	для них	7	3
96	однако в	2	3
97	в отношении	2	3
98	в ее	4	3
99	что они	5	3
100	совсем не	5	3
101	смысле слова	2	3
102	еще не	6	3
103	для того	4	3
104	и тем	3	3
105	бы не	2	3
106	того что	3	3
107	в эпоху	3	3
108	тем же	7	3
109	жизнь и	3	3
110	от этого	2	3
111	быть только	2	3
112	в ней	5	3
113	этом смысле	2	3
114	в виду	3	3
115	поэтому и	2	2
116	не могут	10	2
117	и более	3	2
118	имеется еще	2	2
119	в них	3	2
120	в какой	3	2
121	хотя бы	6	2
122	как в	4	2
123	это не	3	2
124	уже в	4	2
125	раз и	3	2
126	была бы	2	2
127	к этому	2	2
128	по себе	4	2
129	что именно	5	2
130	к тому	4	2
131	то же	15	2
132	как мы	8	2
133	он был	4	2
134	да и	4	2
135	мы и	3	2
136	с такой	2	2
137	равно как	3	2
138	он считает	2	2
139	жизни и	4	2
140	в данном	6	2
141	в целях	2	2
142	конечно не	4	2
143	но для	2	2
144	и является	4	2
145	всяком случае	6	2
146	в котором	2	2
147	отношению к	3	2
148	но уже	2	2
149	бы то	4	2
150	проявляется в	2	2
151	из них	2	2
152	ее в	3	2
153	данном случае	4	2
154	и речи	2	2
155	и тогда	2	2
156	по отношению	3	2
157	и только	2	2
158	то ни	4	2
159	все эти	6	2
160	с помощью	8	2
161	мы не	4	2
162	они не	4	2
163	самом деле	16	2
164	именно на	2	2
165	того чтобы	5	2
166	в таком	2	2
167	во всяком	6	2
168	между тем	7	2
169	тем что	5	2
170	в одной	5	2
171	дело в	2	2
172	в области	2	2
173	ничего не	2	2
