N	2gram	Tiupa_Anal_2	Myslijsy
1	то есть	9	34
2	в том	12	32
3	и в	16	30
4	может быть	6	28
5	то же	4	23
6	не только	16	21
7	только в	4	21
8	но и	12	19
9	том что	12	18
10	то что	7	18
11	того что	2	18
12	что в	2	17
13	не есть	2	17
14	по себе	2	16
15	в себе	7	16
16	в сознании	4	15
17	не в	4	15
18	и не	12	15
19	а не	10	15
20	таким образом	2	14
21	что и	3	13
22	вместе с	2	12
23	а в	3	12
24	если бы	3	12
25	этого слова	3	11
26	так и	15	11
27	как и	14	10
28	как в	4	10
29	в этом	18	10
30	в то	2	10
31	для него	4	9
32	было бы	3	9
33	между тем	2	9
34	в самом	6	8
35	и то	3	8
36	с другой	6	7
37	вовсе не	2	7
38	к тому	7	7
39	как мы	3	7
40	так что	3	7
41	но не	4	7
42	с одной	5	7
43	тем самым	4	7
44	тем что	3	7
45	из них	3	6
46	те же	2	6
47	не может	4	6
48	уже не	4	6
49	и слово	2	6
50	не имеет	2	6
51	с ним	2	6
52	одно из	2	5
53	по крайней	3	5
54	художественного произведения	2	5
55	же время	2	5
56	в своем	4	5
57	еще не	2	5
58	в действительности	3	5
59	крайней мере	3	5
60	и тем	4	5
61	отношению к	4	5
62	не менее	4	5
63	по отношению	4	5
64	я как	2	5
65	тому как	3	5
66	не следует	2	5
67	сказать что	2	5
68	столь же	4	4
69	все это	4	4
70	все что	2	4
71	в его	2	4
72	была бы	2	4
73	в котором	2	4
74	себе не	2	4
75	один из	2	4
76	другой стороны	2	4
77	и его	4	4
78	он не	2	4
79	и наоборот	2	4
80	по поводу	3	4
81	в один	4	4
82	место в	3	3
83	могут быть	10	3
84	прежде всего	3	3
85	и все	3	3
86	что все	2	3
87	к этому	2	3
88	я и	3	3
89	тем не	3	3
90	именно в	3	3
91	есть в	3	3
92	можно сказать	4	3
93	одной стороны	4	3
94	при этом	10	3
95	ни о	3	3
96	вслед за	2	3
97	никак не	2	3
98	что она	2	3
99	как бы	10	3
100	в целом	8	3
101	на него	2	3
102	со стороны	3	3
103	в словах	3	3
104	только на	3	3
105	так же	2	3
106	в таком	2	3
107	или в	3	3
108	и на	6	3
109	говорить о	6	3
110	не знает	3	3
111	его в	2	3
112	в произведении	2	3
113	ответ на	3	3
114	это было	2	3
115	только не	4	2
116	так например	2	2
117	не столько	3	2
118	в одном	2	2
119	а как	2	2
120	на то	2	2
121	ему в	3	2
122	одной из	3	2
123	что с	2	2
124	на котором	2	2
125	за собою	2	2
126	в этой	9	2
127	как о	3	2
128	у него	4	2
129	она не	2	2
130	несмотря на	3	2
131	и если	3	2
132	на его	3	2
133	в речи	3	2
134	за пределы	4	2
135	даже в	2	2
136	собственно говоря	2	2
137	в своей	2	2
138	и до	2	2
139	в их	3	2
140	в нас	2	2
141	так у	4	2
142	тогда как	19	2
143	этом отношении	3	2
144	к своему	2	2
145	и даже	9	2
146	той же	2	2
147	языка и	2	2
148	точки зрения	4	2
149	подобно тому	3	2
150	бы в	3	2
151	о том	7	2
152	таком случае	2	2
