N	3gram	Bakhtin_Pr_1	EvropaiE
1	с точки зрения	6	16
2	в то же	3	15
3	то же время	3	14
4	и в то	2	8
5	с одной стороны	3	8
6	в том что	3	6
7	для того чтобы	2	5
8	то ни было	2	4
9	той или иной	2	4
10	не только в	2	4
11	того или иного	2	4
12	бы то ни	3	4
13	в известной степени	2	3
14	можно было бы	3	3
15	можно сказать что	2	3
16	в этом отношении	2	3
17	в применении к	3	3
18	и прежде всего	5	3
19	в этом смысле	3	3
20	так и в	2	2
21	в большинстве случаев	5	2
22	в данном случае	4	2
23	с другой стороны	4	2
24	имеет место в	2	2
25	и в частности	2	2
26	мы можем сказать	2	2
27	не может быть	11	2
