N	2gram	Nazirov_Tv_2	KulturaY
1	и т	13	39
2	потому что	7	25
3	т п	2	24
4	и в	20	23
5	не только	13	20
6	в том	8	19
7	в этом	8	18
8	и не	9	16
9	ни к	2	15
10	так как	3	15
11	может быть	8	15
12	т д	11	14
13	если бы	4	12
14	у нас	2	12
15	в самом	3	12
16	все эти	4	12
17	том что	4	11
18	но в	4	11
19	что в	7	10
20	а не	6	10
21	вовсе не	2	9
22	то что	3	9
23	самом деле	2	9
24	не может	7	9
25	с другой	2	8
26	прежде всего	8	8
27	не в	4	8
28	уже не	3	8
29	и что	2	8
30	не менее	2	7
31	все же	5	7
32	но и	8	7
33	другой стороны	2	7
34	и с	8	7
35	это не	7	6
36	по крайней	2	6
37	крайней мере	2	6
38	в этой	5	6
39	но не	5	6
40	что не	3	6
41	то же	7	6
42	этот вопрос	3	6
43	между тем	3	6
44	и на	5	6
45	я не	2	5
46	что он	6	5
47	об этом	4	5
48	еще не	5	5
49	в его	10	5
50	всяком случае	2	5
51	один из	3	5
52	вместе с	3	5
53	приводит к	2	5
54	все это	6	5
55	таким образом	10	5
56	во всяком	2	5
57	только в	2	5
58	отнюдь не	4	4
59	к этому	3	4
60	что на	2	4
61	что я	2	4
62	своего рода	3	4
63	хотя и	4	4
64	как бы	11	4
65	в нем	3	4
66	так же	5	4
67	не было	2	4
68	могут быть	2	4
69	говорить о	2	4
70	в то	10	4
71	в конце	6	4
72	ничего не	4	4
73	так и	6	4
74	уже в	2	3
75	казалось бы	3	3
76	у него	6	3
77	же время	7	3
78	в соответствии	4	3
79	но это	5	3
80	в статье	2	3
81	он не	3	3
82	в процессе	2	3
83	что она	4	3
84	как в	4	3
85	так в	2	3
86	именно в	6	3
87	сводится к	2	3
88	и по	2	3
89	а в	4	3
90	и его	9	3
91	тем что	3	3
92	и это	3	3
93	за собой	4	2
94	только для	2	2
95	они имеют	2	2
96	же как	3	2
97	и есть	2	2
98	в частности	2	2
99	никогда не	11	2
100	что у	4	2
101	с этой	3	2
102	и от	4	2
103	что они	4	2
104	но зато	3	2
105	всякого рода	2	2
106	ли не	2	2
107	и потому	4	2
108	при этом	8	2
109	и если	2	2
110	по словам	2	2
111	может служить	2	2
112	по преимуществу	2	2
113	это определение	3	2
114	и даже	5	2
115	но уже	3	2
116	наше время	2	2
117	превращается в	3	2
118	в своей	6	2
119	в их	3	2
120	в современном	3	2
121	в наше	2	2
122	в отличие	2	2
123	достоевского и	2	2
124	как и	6	2
125	в году	16	2
126	тем самым	4	2
127	и у	2	2
128	на этот	2	2
129	рядом с	2	2
130	роль в	2	2
131	с ними	2	2
132	в которых	3	2
133	и далее	2	2
134	так мы	2	2
135	в своих	3	2
136	соответствии с	4	2
137	и еще	2	2
138	и вообще	2	2
139	как у	3	2
140	в устах	2	2
141	отличие от	2	2
