N	2gram	Voloshinov_1	KFilosof
1	может быть	14	43
2	в его	2	39
3	в нем	6	31
4	не может	16	27
5	и не	10	26
6	по отношению	11	25
7	и в	12	22
8	в котором	3	21
9	отношению к	11	21
10	в себе	3	21
11	не есть	2	19
12	а не	5	17
13	и его	13	17
14	только в	6	16
15	точки зрения	14	13
16	в этом	4	13
17	ни в	3	12
18	для него	3	12
19	но не	2	12
20	все эти	3	11
21	в своей	3	11
22	не в	4	11
23	к нему	4	11
24	в своем	2	10
25	это не	2	10
26	все это	3	10
27	с точки	2	10
28	но и	3	9
29	как бы	13	9
30	и все	2	9
31	и для	3	9
32	если бы	9	8
33	жизни и	4	8
34	и здесь	2	7
35	конечно не	3	7
36	что и	2	7
37	то что	5	7
38	в себя	2	7
39	быть только	2	7
40	в том	6	6
41	но это	2	6
42	отношение к	4	6
43	смысл и	2	6
44	отнюдь не	5	6
45	он не	2	6
46	уже не	4	6
47	никогда не	5	5
48	хотя бы	5	5
49	ее и	3	5
50	то же	5	5
51	его как	2	5
52	но все	2	5
53	его в	4	5
54	с ним	3	5
55	но в	5	5
56	в событии	2	5
57	как и	5	5
58	не только	4	5
59	все же	4	5
60	мы имеем	2	5
61	там где	2	5
62	место в	2	4
63	что в	2	4
64	ни было	4	4
65	для нас	7	4
66	при этом	6	4
67	к ним	2	4
68	между тем	3	4
69	том что	5	4
70	в каком	3	4
71	в чем	2	4
72	независимо от	2	3
73	должна быть	5	3
74	не менее	3	3
75	из него	2	3
76	до конца	2	3
77	и пр	3	3
78	в виду	5	3
79	в корне	2	3
80	от того	4	3
81	того что	3	3
82	и на	4	3
83	и совершенно	2	3
84	в ней	6	3
85	в то	2	3
86	о том	3	3
87	мы не	3	3
88	тогда когда	2	3
89	ясно что	3	3
90	но конечно	2	3
91	еще не	3	3
92	быть и	3	3
93	бы не	2	3
94	на самом	4	3
95	эти моменты	2	3
96	самом деле	3	3
97	что не	4	3
98	тем как	2	3
99	могут быть	2	3
100	в момент	2	3
101	здесь не	3	3
102	ничего не	2	3
103	то ни	3	2
104	прежде всего	8	2
105	его к	2	2
106	тем не	3	2
107	бы оно	2	2
108	но для	3	2
109	себя и	2	2
110	по себе	3	2
111	как к	3	2
112	содержания и	2	2
113	имеем в	2	2
114	контекста в	2	2
115	с его	2	2
116	и то	2	2
117	в жизни	5	2
118	к этому	2	2
119	конечно в	2	2
120	оценки и	2	2
121	бы то	3	2
122	каждый момент	2	2
123	к содержанию	6	2
124	и потому	2	2
125	но этот	2	2
126	оно не	2	2
127	в процессе	6	2
128	не остается	2	2
129	так и	4	2
130	как в	5	2
131	дело с	2	2
132	в данном	2	2
133	и та	2	2
134	отношении к	3	2
135	дело в	4	2
136	едва ли	2	2
