N	3gram	Tiupa_Narr_1	Hudozhes
1	по отношению к	6	10
2	в отличие от	5	7
3	присутствия в мире	2	7
4	в то же	3	6
5	то же время	3	6
6	не сводится к	2	6
7	той или иной	4	5
8	более или менее	2	5
9	в том что	8	5
10	с другой стороны	4	5
11	так и не	2	4
12	состоит в том	3	4
13	можно сказать что	4	3
14	в конечном счете	2	3
15	с точки зрения	2	3
16	тем не менее	3	3
17	ни в мире	3	3
18	того или иного	2	3
19	мы имеем дело	2	2
20	отношения к сообщаемому	2	2
21	сказания или анекдота	2	2
22	в том числе	6	2
23	том числе и	4	2
24	в значительной степени	2	2
25	вокруг я героя	2	2
26	как к содержанию	2	2
27	и в форме	2	2
28	индивидуального речевого замысла	2	2
29	в свою очередь	3	2
30	кто говорит и	2	2
31	в той или	2	2
32	со стороны адресата	2	2
33	в таком случае	2	2
34	речевая маска такого	2	2
35	с одной стороны	7	2
36	в основе своей	4	2
37	так или иначе	2	2
38	по сути дела	2	2
