N	2gram	Bakhtin_sl_2	Dialekti
1	и не	22	30
2	а не	14	18
3	может быть	37	17
4	и т	35	17
5	то что	2	16
6	и в	39	15
7	т д	2	15
8	как бы	7	14
9	так как	4	14
10	точки зрения	8	14
11	по себе	5	13
12	это не	5	12
13	прежде всего	8	11
14	в том	5	11
15	не может	20	11
16	говорить о	3	11
17	и все	5	11
18	в этом	16	11
19	с ее	2	10
20	в основе	4	10
21	том что	5	10
22	все это	16	9
23	мы не	2	9
24	это и	2	9
25	то же	4	9
26	уже не	5	9
27	с точки	3	9
28	ни в	4	8
29	не в	9	8
30	в себе	2	8
31	не только	24	8
32	в чем	3	8
33	что в	3	7
34	должна быть	3	7
35	что оно	4	7
36	что он	2	7
37	как и	6	7
38	и его	33	7
39	или в	2	7
40	только в	5	7
41	перед нами	3	6
42	же время	4	6
43	хотя и	2	6
44	а именно	2	6
45	и даже	7	6
46	в результате	2	6
47	сказать что	3	6
48	вовсе не	10	6
49	в то	4	6
50	что и	3	6
51	сама по	3	5
52	так и	15	5
53	в своем	6	5
54	того чтобы	2	5
55	в ней	3	5
56	в сфере	2	5
57	в нем	19	5
58	в свете	3	5
59	таким образом	8	5
60	именно в	2	5
61	и на	4	5
62	о том	2	5
63	с его	7	5
64	тогда когда	2	5
65	в смысле	4	5
66	и чисто	2	5
67	в сущности	6	5
68	в себя	2	5
69	для того	2	5
70	и для	5	5
71	той же	3	5
72	бы только	2	4
73	и как	3	4
74	но это	3	4
75	один из	5	4
76	жизни и	6	4
77	но и	21	4
78	в особенности	3	4
79	с ними	5	4
80	также и	2	4
81	и с	9	4
82	той или	5	4
83	в одном	2	4
84	с их	3	4
85	она не	6	4
86	еще не	7	4
87	хотя бы	3	4
88	в его	7	4
89	смысла и	3	3
90	не всегда	2	3
91	в собственном	3	3
92	на этом	3	3
93	и нет	2	3
94	в свою	3	3
95	для всех	4	3
96	себя и	4	3
97	в их	2	3
98	смысл и	2	3
99	отношения к	4	3
100	все эти	6	3
101	и наконец	5	3
102	с этим	2	3
103	даже и	4	3
104	в истории	11	3
105	с ним	7	3
106	но в	6	3
107	только о	2	3
108	мы уже	2	3
109	за пределы	2	3
110	и потому	7	3
111	быть и	3	3
112	бы и	3	3
113	как в	13	3
114	в данном	2	3
115	в виде	2	3
116	могут быть	7	3
117	в области	2	3
118	от него	5	3
119	не менее	4	2
120	не могут	5	2
121	в отношении	4	2
122	человека и	3	2
123	и само	2	2
124	к своему	9	2
125	собственном смысле	3	2
126	его как	2	2
127	без всякого	2	2
128	но все	5	2
129	свою очередь	2	2
130	на нем	2	2
131	как о	2	2
132	кроме того	2	2
133	при этом	7	2
134	и часто	3	2
135	никогда не	7	2
136	но мы	2	2
137	и их	5	2
138	для этого	4	2
139	далее в	2	2
140	не было	2	2
141	лишь в	3	2
142	же и	2	2
143	но как	2	2
144	ведь и	2	2
145	во всем	4	2
146	и ни	2	2
147	как это	3	2
148	если она	3	2
149	однако в	2	2
150	в них	6	2
151	все же	6	2
152	все что	2	2
153	конечно не	5	2
154	как вещь	2	2
155	о нем	2	2
156	оно не	8	2
157	себя в	8	2
158	во всех	12	2
159	вместе с	2	2
160	того как	2	2
161	можно говорить	2	2
162	и слово	2	2
163	во всяком	3	2
164	и при	2	2
165	и вне	2	2
166	отношении к	4	2
167	это возможно	2	2
168	отличие от	13	2
169	может и	2	2
