N	2gram	Bakhtin_Fr_7	Myslijsy
1	то есть	20	34
2	потому что	5	33
3	то что	8	29
4	может быть	4	26
5	таким образом	19	24
6	в том	11	23
7	и в	41	23
8	в этом	15	23
9	и не	7	18
10	что в	9	17
11	при этом	3	15
12	только в	6	15
13	как и	14	14
14	в себе	11	14
15	то же	13	14
16	того что	2	14
17	так как	3	14
18	том что	4	12
19	не было	3	12
20	а не	2	12
21	но и	9	11
22	не в	9	11
23	не может	3	11
24	и потому	3	10
25	по отношению	2	10
26	не только	5	10
27	тем что	3	10
28	не есть	2	9
29	в своем	9	8
30	было бы	4	8
31	отношению к	2	8
32	другими словами	2	8
33	мы не	2	8
34	о том	6	8
35	но в	8	8
36	что это	4	7
37	это не	6	7
38	в нем	7	7
39	что и	5	7
40	вовсе не	7	7
41	как в	5	7
42	с этим	2	7
43	и к	5	6
44	вместе с	5	6
45	того как	5	6
46	в которой	2	6
47	так и	10	6
48	уже в	5	5
49	для него	6	5
50	таким же	3	5
51	хотя и	4	5
52	в его	12	5
53	как бы	7	5
54	к нему	5	5
55	все это	10	5
56	находится в	2	5
57	должно быть	4	5
58	а в	5	5
59	с ним	2	5
60	во всяком	2	5
61	и то	2	5
62	есть в	6	5
63	так сказать	3	5
64	не имеет	3	5
65	и все	14	4
66	что все	2	4
67	что он	3	4
68	есть не	2	4
69	есть то	2	4
70	и может	2	4
71	но есть	3	4
72	в одном	3	4
73	только на	2	4
74	в той	3	4
75	тем самым	3	4
76	так же	5	4
77	точки зрения	5	4
78	в данном	2	4
79	в то	10	4
80	его в	3	4
81	мы имеем	2	4
82	и с	4	4
83	и есть	3	3
84	никогда не	2	3
85	что между	2	3
86	в этих	2	3
87	в них	7	3
88	из одного	4	3
89	именно в	2	3
90	в нее	3	3
91	но это	3	3
92	же время	9	3
93	кроме того	3	3
94	еще не	2	3
95	мы уже	12	3
96	к тому	2	3
97	например в	3	3
98	мы в	2	3
99	в виду	4	3
100	лица и	3	3
101	и их	3	3
102	в процессе	2	3
103	что есть	2	3
104	той же	3	3
105	в разных	2	3
106	все эти	13	3
107	и других	2	3
108	что у	3	3
109	на самом	2	3
110	уже не	2	3
111	и по	3	3
112	с ними	3	3
113	и на	4	3
114	и до	6	3
115	в которых	2	3
116	их в	2	3
117	и так	2	3
118	ту же	2	3
119	с точки	3	3
120	во время	3	2
121	я не	3	2
122	глядя на	2	2
123	и как	2	2
124	все что	4	2
125	в состоянии	2	2
126	оно не	2	2
127	же что	2	2
128	в образе	4	2
129	отношение к	2	2
130	том и	2	2
131	и здесь	4	2
132	по своему	2	2
133	явления и	2	2
134	в большинстве	2	2
135	есть и	3	2
136	в свою	3	2
137	после того	4	2
138	уже здесь	2	2
139	тот же	2	2
140	в это	3	2
141	в сущности	4	2
142	значительной степени	2	2
143	в ней	5	2
144	он не	4	2
145	никто не	10	2
146	и др	2	2
147	и это	5	2
148	в мире	3	2
149	не знаем	2	2
150	проявляется в	3	2
151	на том	2	2
152	было связано	2	2
153	этот образ	2	2
154	мы видим	6	2
155	и для	5	2
156	в течение	2	2
157	еще более	2	2
158	дело не	2	2
159	человека в	2	2
160	как мы	11	2
161	из которых	2	2
162	и у	5	2
163	с образами	4	2
164	что значит	2	2
165	и его	9	2
166	можно было	3	2
167	нас в	3	2
168	в более	4	2
169	может иметь	2	2
170	влияние на	4	2
171	бы в	2	2
172	его к	3	2
173	эти образы	2	2
174	одном из	4	2
175	большинстве случаев	2	2
176	в области	2	2
177	это было	2	2
178	и сама	2	2
