N	2gram	Propp_Russ_2	EvropaiC
1	таким образом	6	32
2	в том	22	31
3	и в	29	24
4	том что	22	20
5	все эти	3	19
6	не может	5	18
7	то что	5	17
8	может быть	13	15
9	все же	2	15
10	в этом	11	12
11	все это	10	11
12	между тем	3	11
13	с этим	2	11
14	как бы	18	10
15	во всех	3	10
16	при этом	6	9
17	как и	11	9
18	что в	22	9
19	не в	4	8
20	так же	4	8
21	и все	4	8
22	а и	2	8
23	не менее	2	7
24	для этого	5	7
25	но и	8	7
26	и что	5	7
27	из этих	2	7
28	о том	9	7
29	по существу	4	7
30	на самом	2	7
31	того чтобы	6	7
32	для того	6	7
33	из этого	2	7
34	с другой	2	6
35	так что	4	6
36	в этой	3	6
37	того что	3	6
38	и на	6	6
39	так как	13	6
40	и при	2	6
41	еще не	6	6
42	что и	2	6
43	тогда как	2	6
44	у них	2	6
45	в европе	2	6
46	вместе с	6	6
47	именно в	4	5
48	что это	3	5
49	и от	3	5
50	что с	2	5
51	и с	10	5
52	потому что	5	5
53	его в	8	5
54	но в	5	5
55	к этому	5	5
56	в то	2	5
57	что при	2	5
58	не только	10	5
59	и для	2	5
60	далеко не	4	5
61	в которой	2	5
62	никогда не	2	4
63	та же	2	4
64	этом случае	6	4
65	тем не	2	4
66	одним из	2	4
67	из них	4	4
68	в их	2	4
69	должно быть	2	4
70	и то	2	4
71	между собой	2	4
72	связи с	2	4
73	том же	4	4
74	выше мы	3	4
75	совершенно не	2	4
76	то же	4	4
77	а с	2	4
78	в течение	2	4
79	в народе	3	4
80	из которых	2	4
81	в таком	4	4
82	в виде	4	4
83	же как	4	3
84	с одной	2	3
85	в этих	3	3
86	с в	8	3
87	представление о	5	3
88	вопрос о	4	3
89	ее и	2	3
90	а наоборот	3	3
91	для нас	6	3
92	очевидно что	2	3
93	это представление	4	3
94	данном случае	7	3
95	и других	3	3
96	образом в	2	3
97	и по	3	3
98	а в	9	3
99	это не	5	3
100	каждый из	2	3
101	с тем	6	3
102	прежде всего	2	3
103	у нас	4	3
104	во всем	2	3
105	чем в	2	3
106	на земле	5	3
107	жизнь и	2	3
108	рассматриваться как	2	3
109	что по	4	3
110	в данном	6	3
111	отличие от	3	3
112	о них	2	2
113	с этой	2	2
114	что на	2	2
115	как мы	3	2
116	все в	2	2
117	на этом	3	2
118	одной стороны	2	2
119	к нему	4	2
120	том чтобы	2	2
121	но если	3	2
122	в виду	2	2
123	в котором	3	2
124	мы видели	7	2
125	что она	3	2
126	то и	4	2
127	что такие	2	2
128	что для	3	2
129	к таким	2	2
130	для этой	3	2
131	в которых	4	2
132	одно из	2	2
133	не было	2	2
134	все то	2	2
135	на нее	6	2
136	говорить что	2	2
137	и там	3	2
138	из нее	2	2
139	в них	4	2
140	тогда когда	4	2
141	должен быть	2	2
142	если он	2	2
143	на первый	3	2
144	а затем	4	2
145	только тогда	3	2
146	а к	2	2
147	так чтобы	2	2
148	одна из	11	2
149	но не	5	2
150	она не	3	2
151	было бы	3	2
152	можно встретить	2	2
153	этот вопрос	2	2
154	и ее	2	2
155	есть в	2	2
156	представления об	2	2
157	в эту	3	2
