N	2gram	Potebnia_M_1	VrazhdaK
1	не только	21	9
2	в этом	15	8
3	и что	10	8
4	и в	39	8
5	но и	20	7
6	что в	22	7
7	то что	10	7
8	и все	3	7
9	в нем	20	6
10	все же	6	6
11	и даже	4	6
12	как и	9	6
13	в начале	2	6
14	но в	9	6
15	и с	3	6
16	то же	6	5
17	не было	4	5
18	и не	18	5
19	между тем	5	5
20	в то	4	5
21	же время	4	5
22	для нас	9	4
23	как бы	6	4
24	это не	7	4
25	так же	5	4
26	с ним	3	4
27	в своих	4	4
28	может быть	27	4
29	при этом	6	4
30	в истории	7	4
31	несмотря на	5	4
32	о том	2	4
33	в ней	7	4
34	в виду	2	4
35	связи с	3	3
36	в своем	3	3
37	и во	3	3
38	на то	2	3
39	в том	26	3
40	и его	5	3
41	том что	16	3
42	и как	6	3
43	тем что	9	3
44	в его	5	3
45	но он	2	3
46	и о	2	3
47	одним из	2	3
48	он не	3	3
49	его с	2	2
50	в своей	3	2
51	и это	3	2
52	после этого	2	2
53	не менее	6	2
54	никогда не	4	2
55	вместе с	8	2
56	в них	3	2
57	столь же	3	2
58	что к	2	2
59	не может	22	2
60	по мнению	3	2
61	а в	5	2
62	тогда как	2	2
63	таким образом	13	2
64	но это	5	2
65	там же	9	2
66	уже не	2	2
67	не мог	3	2
68	с точки	3	2
69	же в	2	2
70	в глазах	3	2
71	тем более	2	2
72	в этой	3	2
73	и то	3	2
74	но как	3	2
75	точки зрения	8	2
76	в свою	4	2
77	в себе	13	2
78	для него	4	2
79	еще не	6	2
80	его на	2	2
81	при помощи	2	2
82	в мире	3	2
83	с нею	4	2
84	к ним	2	2
85	том же	2	2
86	б и	2	2
