N	2gram	Losev_Dial_1	RusskieA
1	и в	18	29
2	т е	25	24
3	что в	13	22
4	том что	9	22
5	в том	9	22
6	как бы	11	18
7	может быть	17	13
8	так как	11	13
9	как и	2	11
10	в этом	12	11
11	все это	11	10
12	и с	5	10
13	не только	13	10
14	о том	4	9
15	а в	5	9
16	или на	2	8
17	но и	7	8
18	как в	2	7
19	еще не	2	6
20	для того	2	6
21	в данном	3	6
22	мы имеем	2	6
23	этот обряд	3	6
24	на земле	2	5
25	потому что	14	5
26	это не	9	5
27	к этому	2	5
28	то что	13	5
29	и что	12	5
30	но не	4	5
31	с ней	2	5
32	для этого	2	5
33	и т	21	5
34	не может	12	5
35	т д	19	5
36	но в	6	5
37	именно в	2	4
38	о чем	2	4
39	в них	3	4
40	и все	3	4
41	вопрос о	2	4
42	уже не	2	4
43	так что	15	4
44	не в	6	4
45	из них	2	4
46	к нему	8	4
47	же как	2	4
48	так же	4	4
49	то и	2	4
50	то же	10	4
51	а не	14	4
52	в которых	2	4
53	в виде	2	4
54	как это	4	4
55	на этом	2	3
56	в этих	5	3
57	в качестве	2	3
58	и от	2	3
59	как например	2	3
60	она не	6	3
61	что здесь	2	3
62	того что	2	3
63	было бы	12	3
64	и о	3	3
65	что она	7	3
66	но если	5	3
67	в котором	4	3
68	с другими	2	3
69	не имеет	15	3
70	только тогда	2	3
71	что для	3	3
72	все эти	2	3
73	как мы	4	3
74	что это	11	3
75	в воде	2	3
76	а он	3	2
77	не менее	2	2
78	если она	3	2
79	с этой	2	2
80	говорить что	2	2
81	об этом	4	2
82	могут быть	3	2
83	никогда не	9	2
84	связанные с	2	2
85	с другой	6	2
86	из этих	2	2
87	он есть	4	2
88	прежде всего	10	2
89	как можно	2	2
90	не был	2	2
91	что и	3	2
92	к ней	4	2
93	нас не	2	2
94	говорит о	5	2
95	это и	4	2
96	и как	7	2
97	и при	2	2
98	у них	3	2
99	здесь в	2	2
100	одной стороны	2	2
101	только как	2	2
102	и пр	5	2
103	совершенно не	8	2
104	в него	2	2
105	в виду	5	2
106	один из	3	2
107	но она	3	2
108	не с	5	2
109	все же	5	2
110	в своей	2	2
111	дело не	2	2
112	в их	3	2
113	а с	2	2
114	не было	6	2
115	с одной	2	2
116	на самом	3	2
117	обе стороны	3	2
118	ее на	2	2
119	и для	2	2
120	должно быть	3	2
121	можно было	5	2
122	жизнь и	3	2
123	и то	9	2
124	которое в	2	2
125	с этим	2	2
126	и еще	3	2
127	во всем	2	2
128	в то	6	2
129	заметить что	2	2
130	та же	3	2
