N	2gram	Tiupa_Vved_1	Problema
1	то есть	8	39
2	то что	6	38
3	и не	12	37
4	и в	13	35
5	не только	20	24
6	том что	7	19
7	о том	5	18
8	может быть	18	18
9	что такое	18	18
10	в этом	21	17
11	но и	19	16
12	такого рода	16	15
13	что мы	2	14
14	только в	6	14
15	не менее	4	13
16	потому что	5	13
17	не может	7	13
18	тем не	3	12
19	в том	10	12
20	того что	6	12
21	также и	4	12
22	что в	3	11
23	прежде всего	7	11
24	никак не	2	11
25	и с	2	10
26	говорить о	2	10
27	еще не	7	10
28	а не	15	10
29	в данном	13	10
30	для нас	2	9
31	едва ли	3	9
32	что же	3	9
33	пока еще	4	9
34	уже не	5	8
35	было бы	4	8
36	по себе	2	8
37	как раз	2	8
38	все же	6	8
39	не является	3	7
40	не имеет	2	7
41	в его	4	7
42	так и	8	7
43	бы и	4	7
44	тем самым	5	7
45	мы не	4	7
46	тоже не	2	7
47	с другой	5	6
48	можно сказать	4	6
49	но это	3	6
50	мы и	2	6
51	о чем	2	6
52	не о	2	6
53	в то	4	6
54	не существует	2	6
55	и для	3	6
56	или иначе	2	6
57	мы можем	2	6
58	но в	6	6
59	как будто	4	6
60	в области	3	6
61	в частности	13	5
62	или иной	3	5
63	в самом	2	5
64	той или	3	5
65	отнюдь не	7	5
66	данном случае	6	5
67	с одной	5	5
68	и на	3	5
69	и более	3	5
70	между собой	2	5
71	и все	4	5
72	как и	11	5
73	по своему	2	5
74	то же	5	5
75	как мы	3	5
76	одной стороны	5	5
77	другой стороны	2	5
78	можно было	2	5
79	в себе	5	5
80	будто бы	3	5
81	в этих	3	4
82	в своем	5	4
83	что на	2	4
84	есть в	2	4
85	более или	2	4
86	не можем	2	4
87	как бы	4	4
88	не вполне	3	4
89	и тем	2	4
90	таким образом	4	4
91	а в	6	4
92	в результате	3	4
93	их в	2	4
94	тем что	2	4
95	если бы	7	4
96	представить себе	2	4
97	но не	5	4
98	или менее	2	4
99	на самом	4	4
100	самом деле	3	4
101	то и	2	4
102	далеко не	4	4
103	не все	2	4
104	в нашем	6	3
105	и от	2	3
106	из этих	3	3
107	язык как	2	3
108	к тому	6	3
109	без его	2	3
110	хотя и	7	3
111	один из	3	3
112	в целом	3	3
113	не было	2	3
114	при этом	26	3
115	лишь в	2	3
116	и наконец	2	3
117	и по	3	3
118	в своих	2	3
119	в основе	3	3
120	о котором	2	3
121	бы в	3	3
122	для них	3	3
123	в случае	2	3
124	и к	2	3
125	и того	2	3
126	одна из	4	3
127	все что	3	3
128	внимание на	3	3
129	бы не	2	3
130	должны были	2	3
131	все равно	2	3
132	в слове	3	3
133	тому как	2	3
134	быть только	2	3
135	это только	2	3
136	как о	2	3
137	он является	2	2
138	перед нами	6	2
139	о них	3	2
140	в той	4	2
141	не в	6	2
142	по поводу	2	2
143	сводится к	4	2
144	или не	2	2
145	в ней	4	2
146	мере в	2	2
147	частности в	2	2
148	в них	2	2
149	но при	5	2
150	об этом	4	2
151	представляет собой	15	2
152	в качестве	8	2
153	ли это	2	2
154	он не	3	2
155	а также	8	2
156	еще в	2	2
157	и времени	2	2
158	что и	2	2
159	во всех	2	2
160	быть и	2	2
161	на него	2	2
162	свидетельствует о	4	2
163	подобно тому	2	2
164	ни от	2	2
165	здесь не	2	2
