N	2gram	Voloshinov_1	NovoeSre
1	а не	6	17
2	не может	12	16
3	и в	38	16
4	и не	14	11
5	жизни и	3	8
6	как не	2	8
7	он не	2	8
8	в том	2	8
9	не будет	3	7
10	как и	10	7
11	в этом	10	7
12	может быть	13	7
13	с его	7	6
14	никогда не	7	6
15	не знает	3	6
16	общественной жизни	10	6
17	не в	6	6
18	лишь в	4	6
19	но это	2	6
20	должен быть	2	5
21	в нем	4	5
22	все это	4	5
23	в жизни	2	5
24	и к	4	5
25	в ней	8	5
26	не только	27	5
27	то что	8	4
28	это не	3	4
29	и все	4	4
30	не было	2	4
31	быть может	3	4
32	и для	3	4
33	должно быть	2	4
34	потому что	5	4
35	по своему	3	4
36	прежде всего	21	4
37	о том	4	4
38	со всех	2	4
39	и потому	2	4
40	но и	13	3
41	не существует	4	3
42	в своей	2	3
43	вопрос о	2	3
44	во всех	6	3
45	перейти к	2	3
46	и пр	4	3
47	к тому	4	3
48	что такое	4	3
49	в мире	2	3
50	в ее	3	3
51	в основе	2	3
52	с тем	8	3
53	конечно не	3	3
54	как в	2	3
55	еще не	3	3
56	сказать что	3	3
57	времени и	2	2
58	все время	5	2
59	себя в	4	2
60	место в	2	2
61	вместе с	5	2
62	так и	6	2
63	и т.п	21	2
64	и от	7	2
65	а в	5	2
66	все эти	2	2
67	уже не	4	2
68	нет и	3	2
69	роль в	3	2
70	того чтобы	7	2
71	зависит от	2	2
72	и даже	3	2
73	хотя бы	18	2
74	но не	2	2
75	ни к	2	2
76	так же	4	2
77	мы не	9	2
78	том что	3	2
79	можно было	4	2
80	связаны с	4	2
81	в обществе	4	2
82	и с	5	2
83	с этим	2	2
84	равно как	2	2
85	и на	6	2
86	не к	3	2
87	в себе	9	2
88	ведь и	2	2
89	в то	9	2
90	общества и	3	2
91	и это	7	2
92	в будущем	3	2
93	когда мы	6	2
94	как это	5	2
95	но для	3	2
96	хотя и	3	2
97	должно было	3	2
98	но в	5	2
99	помнить что	2	2
