N	2gram	Trubetskoy_1	Myshleni
1	в том	30	42
2	том что	19	35
3	в процессе	2	27
4	таким образом	31	25
5	точки зрения	13	24
6	в этом	12	24
7	и в	23	20
8	что в	8	19
9	заключается в	2	18
10	в основе	2	17
11	то же	4	16
12	то что	18	15
13	не только	7	15
14	что они	2	14
15	как мы	2	13
16	с другой	6	12
17	при этом	9	12
18	в их	4	12
19	потому что	9	12
20	может быть	16	12
21	в целом	5	11
22	так же	8	11
23	в его	5	11
24	мы должны	4	11
25	с точки	8	11
26	этого слова	2	11
27	того что	6	10
28	в истории	3	10
29	так как	7	10
30	если мы	4	10
31	и то	4	10
32	в себе	5	10
33	только в	6	10
34	одной стороны	2	9
35	но и	9	9
36	другой стороны	5	9
37	с одной	3	9
38	между тем	12	9
39	как и	9	9
40	того же	9	9
41	тот же	3	9
42	что и	7	9
43	и не	8	8
44	и что	8	8
45	в результате	9	8
46	тогда когда	3	8
47	было бы	3	8
48	вместе с	6	8
49	и более	2	7
50	друг с	9	7
51	как бы	10	7
52	что мы	4	7
53	с другом	9	7
54	самом деле	12	7
55	тем самым	3	7
56	того чтобы	8	7
57	одного и	3	6
58	к тому	8	6
59	тому же	6	6
60	же как	3	6
61	мы видели	2	6
62	в самом	8	6
63	этот процесс	2	6
64	не может	17	6
65	те же	2	6
66	и на	6	6
67	по своей	7	6
68	его в	5	6
69	что развитие	2	6
70	с тем	2	6
71	что он	7	6
72	в силу	7	6
73	на каждом	2	6
74	в частности	2	5
75	никогда не	4	5
76	целый ряд	4	5
77	это не	3	5
78	на то	9	5
79	и тому	2	5
80	только не	2	5
81	если бы	8	5
82	между собой	4	5
83	с этим	11	5
84	и к	5	5
85	все же	13	5
86	и того	3	5
87	о том	7	5
88	мы уже	4	5
89	так и	10	5
90	одной и	2	5
91	для того	8	5
92	все эти	19	5
93	мы можем	6	5
94	в нашем	3	4
95	тому что	2	4
96	в своем	10	4
97	для нас	3	4
98	что с	5	4
99	указывают на	3	4
100	из них	5	4
101	на том	2	4
102	и только	2	4
103	что оно	3	4
104	друг друга	2	4
105	и те	2	4
106	с этой	3	4
107	сходство с	2	4
108	в сознании	6	4
109	и с	5	4
110	к этому	5	4
111	на первый	2	4
112	и при	6	4
113	по своему	5	4
114	в сущности	2	4
115	по сравнению	5	4
116	только что	3	4
117	тем же	2	4
118	между ними	2	4
119	не в	8	4
120	и для	6	4
121	во всяком	2	4
122	в области	4	4
123	на этом	2	3
124	не могут	4	3
125	не менее	7	3
126	в этих	3	3
127	не подлежит	3	3
128	и от	5	3
129	что все	5	3
130	на все	5	3
131	так что	5	3
132	в этой	6	3
133	по одному	3	3
134	между отдельными	2	3
135	от того	3	3
136	в виду	2	3
137	всяком случае	2	3
138	в связи	3	3
139	в совершенно	3	3
140	именно в	5	3
141	и других	2	3
142	столь же	5	3
143	должно быть	4	3
144	но в	4	3
145	говорили выше	5	3
146	отнюдь не	2	3
147	сравнению с	5	3
148	выше что	2	3
149	этом случае	4	3
150	бы в	3	3
151	по существу	6	3
152	во всем	3	3
153	чем в	3	3
154	но не	2	3
155	от тех	3	3
156	как известно	3	3
157	в один	2	3
158	мы говорили	7	3
159	совершенно не	3	3
160	этого явления	2	3
161	в виде	4	3
162	связи с	4	3
163	ничего общего	3	3
164	что эта	4	3
165	в которой	5	3
166	и поэтому	2	3
167	может не	3	2
168	такой же	2	2
169	мы будем	3	2
170	должна быть	5	2
171	целом ряде	3	2
172	но так	2	2
173	прежде всего	3	2
174	в настоящее	2	2
175	мы и	2	2
176	что если	3	2
177	свою очередь	2	2
178	в свою	2	2
179	для него	2	2
180	что это	5	2
181	и у	4	2
182	образом как	2	2
183	том чтобы	2	2
184	одним из	4	2
185	они могут	2	2
186	но для	2	2
187	в ней	3	2
188	в нем	3	2
189	к нему	2	2
190	в противоречие	2	2
191	другими словами	2	2
192	всех остальных	2	2
193	вопросе о	2	2
194	данном случае	3	2
195	отличается от	6	2
196	этой области	4	2
197	они не	2	2
198	между этими	2	2
199	факт что	4	2
200	а в	3	2
201	которые могут	2	2
202	не знает	2	2
203	также и	2	2
204	на более	2	2
205	в данном	3	2
206	из этих	8	2
207	но как	2	2
208	в начале	2	2
209	самого себя	4	2
210	настоящее время	2	2
211	что эти	2	2
212	ступени развития	5	2
213	их в	2	2
214	между двумя	5	2
215	с более	3	2
216	уже и	3	2
217	у него	5	2
218	что такие	2	2
219	представить себе	2	2
220	ясно что	8	2
221	таким же	3	2
222	а затем	2	2
223	в вопросе	2	2
224	сейчас же	3	2
225	том виде	2	2
226	что при	6	2
227	еще не	5	2
228	том же	4	2
229	которую он	2	2
230	далеко не	5	2
231	даже в	3	2
232	не есть	2	2
233	тогда как	6	2
234	а с	4	2
235	может служить	3	2
236	в таком	4	2
237	на одном	2	2
238	ту же	2	2
239	и т.д	4	2
240	и это	3	2
241	рассматривать как	2	2
242	этими двумя	2	2
243	отличие от	3	2
244	которые не	3	2
245	же не	3	2
246	из него	2	2
