N	2gram	Vinokur_St_2	Formalny
1	поэтического языка	2	65
2	и в	29	38
3	в этом	21	27
4	т е	10	26
5	может быть	2	23
6	и пр	8	21
7	и его	6	21
8	таким образом	10	20
9	и не	9	20
10	в самом	7	16
11	прежде всего	5	15
12	не в	4	15
13	и т	9	14
14	не может	2	14
15	в нем	4	13
16	но и	19	13
17	связи с	4	13
18	с его	2	11
19	с тем	7	11
20	в том	27	11
21	вовсе не	6	11
22	в его	13	10
23	и с	4	9
24	как и	2	9
25	при этом	2	9
26	в процессе	2	9
27	не только	19	9
28	на почве	2	9
29	т п	3	9
30	языка в	2	9
31	что и	2	8
32	все же	6	8
33	так и	9	8
34	самом деле	3	8
35	тем что	3	8
36	точки зрения	5	8
37	что в	19	7
38	по себе	3	7
39	для него	4	7
40	по существу	2	7
41	в своей	7	7
42	этом отношении	9	7
43	с точки	2	7
44	не было	3	6
45	в результате	2	6
46	то что	11	6
47	в истории	2	6
48	в ней	7	6
49	в этой	2	6
50	было бы	5	6
51	вместе с	7	6
52	в их	3	6
53	то же	2	6
54	все эти	2	6
55	а не	5	6
56	как раз	8	6
57	в языке	5	6
58	он не	9	6
59	только в	2	6
60	хотя бы	3	6
61	в общем	3	5
62	если бы	2	5
63	что он	13	5
64	именно в	4	5
65	и речи	2	5
66	с этим	3	5
67	т д	6	5
68	еще более	4	5
69	в то	2	5
70	во всяком	3	5
71	всяком случае	3	5
72	оно не	3	4
73	не столько	7	4
74	и теперь	2	4
75	к этому	4	4
76	к тому	10	4
77	что они	2	4
78	чем он	2	4
79	совершенно не	2	4
80	в статье	2	4
81	как бы	5	4
82	и к	4	4
83	из них	3	4
84	в некоторых	2	4
85	как в	3	4
86	другой стороны	3	4
87	в особенности	2	4
88	поэтическим языком	2	4
89	и даже	3	4
90	там где	2	4
91	они не	2	4
92	ничего не	4	4
93	так как	2	4
94	но в	8	4
95	же как	3	3
96	была бы	5	3
97	и др	2	3
98	в какой	2	3
99	с другой	4	3
100	а как	4	3
101	и здесь	3	3
102	не приходится	4	3
103	и как	2	3
104	но все	7	3
105	например в	3	3
106	значительной степени	2	3
107	должно было	3	3
108	не является	3	3
109	литературного языка	2	3
110	все это	11	3
111	на самом	3	3
112	в значительной	2	3
113	того что	5	3
114	того чтобы	6	3
115	для того	7	3
116	тем же	2	3
117	особенно в	2	3
118	и на	6	3
119	хотя и	4	3
120	его в	2	3
121	том смысле	2	3
122	что это	3	3
123	в области	2	3
124	не то	3	3
125	это было	2	3
126	образом не	2	2
127	времени и	4	2
128	борьбы с	3	2
129	самого начала	3	2
130	и более	2	2
131	и другие	2	2
132	никогда не	3	2
133	по этому	2	2
134	в этих	3	2
135	в качестве	5	2
136	тому что	7	2
137	от его	2	2
138	в одной	2	2
139	в конце	2	2
140	с нею	3	2
141	что именно	2	2
142	это время	2	2
143	в тех	2	2
144	его как	2	2
145	в ее	2	2
146	до конца	3	2
147	с самого	3	2
148	том что	27	2
149	идет о	3	2
150	но это	3	2
151	должна была	2	2
152	но не	3	2
153	очевидно что	2	2
154	чтобы сделать	2	2
155	кроме того	4	2
156	что на	3	2
157	борьба с	2	2
158	и о	4	2
159	в котором	7	2
160	даже в	2	2
161	сами по	2	2
162	он был	2	2
163	не к	2	2
164	ни в	3	2
165	не по	2	2
166	а к	2	2
167	ее в	2	2
168	со стороны	2	2
169	его не	3	2
170	нигде не	2	2
171	то ни	2	2
172	предисловии к	2	2
173	в той	5	2
174	не имеет	2	2
175	и по	3	2
176	отличие от	2	2
177	вряд ли	3	2
178	этот вопрос	2	2
179	сказать что	2	2
180	между тем	5	2
181	в предисловии	3	2
182	в отличие	2	2
183	как например	2	2
184	при помощи	4	2
185	и это	2	2
186	к сожалению	2	2
187	что эта	3	2
188	должен был	4	2
189	само собою	2	2
190	потому что	9	2
191	как это	2	2
192	в которой	11	2
193	отметить что	2	2
194	не могли	2	2
195	в виду	7	2
