N	2gram	Ircho_Kome_1	VeschiIm
1	т е	13	42
2	не может	2	33
3	не только	10	31
4	может быть	9	29
5	и не	8	28
6	и в	22	26
7	то что	2	24
8	и т	9	21
9	т д	4	20
10	только в	3	14
11	было бы	2	12
12	но и	11	12
13	все же	3	12
14	в себя	2	12
15	и ее	3	12
16	таким образом	8	11
17	то же	6	10
18	потому что	5	10
19	в том	11	9
20	в самом	2	9
21	бы то	2	9
22	и с	3	9
23	ни было	2	9
24	прежде всего	5	9
25	то ни	2	9
26	еще и	2	9
27	на то	3	8
28	но это	2	8
29	с ее	2	8
30	в себе	2	8
31	ничего не	3	8
32	со своим	5	7
33	в то	10	7
34	его в	3	7
35	так как	4	7
36	е в	2	7
37	том что	12	7
38	указывает на	2	7
39	как раз	3	7
40	в этом	3	7
41	ли это	2	7
42	и как	3	6
43	что они	4	6
44	что в	6	6
45	со стороны	2	6
46	в результате	4	6
47	точки зрения	4	6
48	но в	4	6
49	ясно что	4	6
50	относится к	2	6
51	не менее	3	5
52	в отношении	6	5
53	тем не	2	5
54	не в	6	5
55	еще не	2	5
56	для этого	2	5
57	а в	6	5
58	чем же	2	5
59	в свою	2	5
60	у нас	3	5
61	одна из	2	5
62	но не	2	5
63	того же	2	5
64	в сущности	2	5
65	для себя	2	5
66	на себя	2	5
67	в чем	3	5
68	с другой	5	4
69	независимо от	2	4
70	же время	4	4
71	из них	10	4
72	в их	4	4
73	то и	2	4
74	в и	2	4
75	и даже	5	4
76	о том	8	4
77	и все	3	4
78	как и	9	4
79	и о	3	4
80	что и	4	4
81	даже не	2	4
82	мы не	3	4
83	тем что	4	4
84	вопрос о	3	3
85	к тому	6	3
86	несмотря на	4	3
87	на этом	2	3
88	и сам	3	3
89	в нем	4	3
90	отношение к	3	3
91	все это	5	3
92	в одном	8	3
93	один из	5	3
94	что он	6	3
95	и притом	2	3
96	тот же	3	3
97	между прочим	2	3
98	к ней	2	3
99	вместе с	2	3
100	так и	5	3
101	или менее	2	3
102	да и	3	3
103	казалось бы	3	2
104	в частности	3	2
105	это однако	2	2
106	именно потому	2	2
107	на все	2	2
108	и можно	2	2
109	ни в	6	2
110	когда же	5	2
111	мог бы	2	2
112	только один	2	2
113	и тем	2	2
114	в первой	2	2
115	же когда	2	2
116	и вот	4	2
117	не мог	3	2
118	так же	3	2
119	в своих	2	2
120	в более	3	2
121	как это	3	2
122	мы можем	4	2
123	на него	4	2
124	и во	2	2
125	о которых	5	2
126	в силу	2	2
127	в качестве	4	2
128	наряду с	2	2
129	он не	3	2
130	как в	5	2
131	находится в	2	2
132	как мы	4	2
133	в в	4	2
134	при всем	2	2
135	и его	8	2
136	из его	4	2
137	во всяком	2	2
138	и таким	2	2
139	ту же	2	2
140	об отношении	2	2
