N	2gram	Trubetskoy_1	Myshleni
1	в процессе	2	27
2	и в	26	25
3	в том	11	23
4	том что	7	20
5	что в	9	17
6	так же	5	17
7	таким образом	22	17
8	с тем	18	16
9	то что	7	15
10	в его	5	15
11	в этом	15	14
12	вместе с	15	14
13	может быть	10	13
14	так как	9	12
15	в качестве	3	12
16	по своему	2	11
17	как бы	12	10
18	и не	8	10
19	и что	4	10
20	того что	3	10
21	что и	6	10
22	только в	4	10
23	связи с	9	9
24	того чтобы	5	8
25	уже в	2	7
26	все эти	6	7
27	что мы	2	7
28	по своей	2	7
29	для того	5	7
30	мы можем	2	7
31	в области	9	7
32	самого начала	2	6
33	не менее	3	6
34	с другой	8	6
35	с самого	3	6
36	не в	2	6
37	же как	3	6
38	и у	8	6
39	один из	2	6
40	мы видели	2	6
41	не может	4	6
42	в связи	3	6
43	и на	2	6
44	потому что	7	6
45	мы должны	6	6
46	что он	4	6
47	в отношении	6	6
48	в силу	5	6
49	представляет собой	3	6
50	но не	8	6
51	того же	6	6
52	со всеми	2	6
53	не только	10	6
54	все же	6	6
55	благодаря этому	2	6
56	точки зрения	13	6
57	все это	6	6
58	так и	6	5
59	именно в	2	5
60	что это	3	5
61	тем не	3	5
62	и как	3	5
63	отличаются от	2	5
64	в пользу	2	5
65	для него	3	5
66	одной стороны	7	5
67	при этом	3	5
68	друг с	5	5
69	одним из	2	5
70	с одной	7	5
71	и по	4	5
72	если бы	3	5
73	и к	5	5
74	о том	6	5
75	из которых	4	5
76	в этой	4	5
77	и т.д	6	5
78	с другом	5	5
79	не могут	2	4
80	никогда не	5	4
81	в своем	3	4
82	из этих	10	4
83	прежде всего	2	4
84	на то	2	4
85	в смысле	4	4
86	к тому	6	4
87	к которым	2	4
88	всяком случае	6	4
89	из них	7	4
90	но и	9	4
91	а в	4	4
92	сказать что	2	4
93	в то	4	4
94	мы имеем	2	4
95	тогда когда	2	4
96	стадии развития	2	4
97	и все	2	4
98	что оно	4	4
99	тем и	2	4
100	еще не	2	4
101	он не	4	4
102	по сравнению	2	4
103	приводит к	2	4
104	во всяком	6	4
105	и это	2	4
106	ни один	2	4
107	с этой	3	3
108	что эти	3	3
109	в свою	2	3
110	оно является	2	3
111	в самом	4	3
112	вслед за	2	3
113	в котором	4	3
114	если в	3	3
115	отличается от	2	3
116	путь к	3	3
117	в которых	4	3
118	этом отношении	2	3
119	в результате	3	3
120	между тем	2	3
121	к которому	2	3
122	пути к	2	3
123	сравнению с	2	3
124	не как	2	3
125	состоит в	2	3
126	к этому	3	3
127	или иной	2	3
128	с ней	3	3
129	связь с	2	3
130	или менее	5	3
131	а с	7	3
132	когда он	3	3
133	в виде	4	3
134	ничего общего	2	3
135	которые в	2	3
136	то же	4	2
137	в этих	4	2
138	том виде	2	2
139	и от	4	2
140	этой точки	2	2
141	и вместе	4	2
142	исторического развития	2	2
143	ни было	2	2
144	так что	3	2
145	но все	7	2
146	той или	2	2
147	в нем	4	2
148	заключает в	2	2
149	для этого	2	2
150	и только	4	2
151	как на	8	2
152	может ли	2	2
153	виде в	2	2
154	и здесь	2	2
155	в начале	2	2
156	с его	2	2
157	к жизни	5	2
158	главным образом	8	2
159	но по	3	2
160	в них	2	2
161	в одном	3	2
162	связанные с	7	2
163	ясно что	3	2
164	в таком	3	2
165	этой задачи	2	2
166	о котором	2	2
167	все что	2	2
168	тот же	2	2
169	и потому	6	2
170	а также	2	2
171	и особенно	2	2
172	отношению к	3	2
173	в мире	5	2
174	только что	2	2
175	в течение	4	2
176	уже не	3	2
177	на этот	4	2
178	и для	5	2
179	или иначе	3	2
180	с другими	4	2
181	на пути	2	2
182	связан с	2	2
183	этого периода	2	2
184	в себе	6	2
185	в эту	2	2
