N	2gram	Potebnia_M_3	Literetu
1	не только	21	24
2	при этом	3	19
3	но и	19	17
4	а не	15	16
5	в том	32	16
6	том что	18	14
7	может быть	28	13
8	тогда как	2	13
9	и не	15	12
10	в этом	10	12
11	прежде всего	3	11
12	в своем	5	11
13	то что	18	10
14	так или	2	8
15	не в	15	8
16	в целом	3	8
17	и в	30	8
18	только в	21	8
19	не менее	5	7
20	в его	4	7
21	как бы	3	7
22	уже не	6	7
23	в себе	16	7
24	я и	3	7
25	как и	10	6
26	связи с	2	6
27	того что	18	6
28	точки зрения	2	6
29	то есть	34	6
30	с этой	2	5
31	что он	6	5
32	же в	2	5
33	же время	5	5
34	для себя	3	5
35	искусства и	3	5
36	как в	10	5
37	не может	6	5
38	то же	23	5
39	уже в	5	5
40	тем самым	7	5
41	не столько	2	5
42	в то	10	5
43	перестает быть	4	4
44	столь же	4	4
45	в силу	3	4
46	но не	7	4
47	еще не	5	4
48	и тем	5	4
49	все же	2	4
50	из них	6	4
51	в своей	2	4
52	со стороны	3	4
53	так и	11	4
54	друг друга	3	4
55	и его	4	4
56	не как	2	4
57	в этой	2	4
58	не было	4	3
59	в душе	10	3
60	что в	17	3
61	в сознание	7	3
62	и есть	3	3
63	с другой	7	3
64	самого себя	3	3
65	например в	6	3
66	в самом	8	3
67	несмотря на	2	3
68	у него	2	3
69	том же	2	3
70	же и	3	3
71	один из	4	3
72	жизни и	2	3
73	в их	2	3
74	по отношению	5	3
75	бы не	4	3
76	а в	12	3
77	таким образом	14	3
78	тем же	4	3
79	и даже	2	3
80	той же	2	3
81	потому что	46	3
82	одно из	5	3
83	произведения искусства	2	3
84	далеко не	4	3
85	его в	3	3
86	в области	2	3
87	жизни не	3	2
88	этого не	3	2
89	а как	2	2
90	целый мир	2	2
91	та же	2	2
92	из этих	9	2
93	подобно тому	2	2
94	человека и	5	2
95	а потому	6	2
96	для понимания	4	2
97	к тому	7	2
98	а только	3	2
99	тем не	3	2
100	что я	5	2
101	его я	3	2
102	для него	9	2
103	одной стороны	3	2
104	было бы	9	2
105	по поводу	4	2
106	за пределы	2	2
107	в искусстве	3	2
108	относится к	4	2
109	даже в	2	2
110	в нем	9	2
111	то это	6	2
112	не есть	17	2
113	отношению к	5	2
114	не к	4	2
115	то он	2	2
116	художественное произведение	6	2
117	только на	3	2
118	не говоря	3	2
119	то и	6	2
120	этом отношении	2	2
121	с одной	7	2
122	из того	2	2
123	самом деле	2	2
124	что не	8	2
125	что такое	2	2
126	мысль в	3	2
127	что для	4	2
128	но без	2	2
129	в слове	32	2
130	тому как	5	2
131	и то	8	2
132	между тем	9	2
133	тем более	4	2
134	тем что	7	2
135	могут быть	3	2
136	на это	4	2
137	о том	2	2
138	здесь как	3	2
139	которая не	2	2
140	в сознании	15	2
