N	3gram	Losev_Vlad_3	StatiiOP
1	в том что	10	17
2	о том что	8	11
3	с точки зрения	6	8
4	в этом отношении	2	7
5	в данном случае	2	6
6	с другой стороны	2	6
7	во всяком случае	3	6
8	не может быть	6	5
9	то же время	2	4
10	в то же	3	4
11	дело в том	5	4
12	на то что	2	4
13	что и в	3	4
14	так же как	2	3
15	том что в	3	3
16	что же касается	5	3
17	и в этом	5	3
18	ничего общего с	2	3
19	только в том	3	3
20	в то время	4	2
21	не имеет ничего	2	2
22	а также и	6	2
23	с одной стороны	3	2
24	тем не менее	9	2
25	и в том	2	2
26	хотя бы и	3	2
27	то что в	3	2
28	и то что	4	2
29	имеет ничего общего	2	2
30	так или иначе	2	2
