N	2gram	Bakhtin_fo_1	KFilosof
1	может быть	11	43
2	в его	13	39
3	в нем	24	31
4	не может	6	27
5	и не	14	26
6	по отношению	3	25
7	и в	50	22
8	в котором	4	21
9	отношению к	5	21
10	в себе	3	21
11	в ее	6	17
12	а не	3	17
13	и его	16	17
14	только в	4	16
15	точки зрения	5	13
16	в этом	25	13
17	ни в	8	12
18	для него	2	12
19	но не	5	12
20	и это	4	12
21	все эти	9	11
22	в своей	2	11
23	не в	5	11
24	в своем	4	10
25	это не	6	10
26	все это	4	10
27	во всех	6	10
28	с точки	2	10
29	в целом	2	9
30	но и	8	9
31	в их	6	9
32	как бы	2	9
33	и все	6	9
34	его целом	2	9
35	и для	4	9
36	не было	7	8
37	лишь в	6	8
38	мир в	2	8
39	если бы	5	8
40	было бы	2	8
41	жизни и	8	8
42	момент его	2	8
43	на основе	2	7
44	во всем	2	7
45	вовсе не	13	7
46	конечно не	4	7
47	что и	3	7
48	то что	6	7
49	быть только	3	7
50	в том	9	6
51	момент в	2	6
52	отношение к	2	6
53	отнюдь не	5	6
54	совершенно не	2	6
55	и их	8	6
56	он не	5	6
57	уже не	2	6
58	мира в	3	6
59	никогда не	2	5
60	хотя бы	2	5
61	но эта	3	5
62	то же	11	5
63	но все	5	5
64	именно в	3	5
65	не имеет	4	5
66	в основе	5	5
67	его в	3	5
68	с ним	2	5
69	но в	10	5
70	не знает	3	5
71	жизни в	8	5
72	как и	8	5
73	не только	9	5
74	для себя	7	5
75	все же	6	5
76	там где	2	5
77	времени и	10	4
78	место в	2	4
79	что в	5	4
80	время и	4	4
81	входит в	3	4
82	для нас	2	4
83	при этом	3	4
84	к ним	2	4
85	места в	2	4
86	чем не	3	4
87	в одном	3	4
88	и момент	2	4
89	не как	2	4
90	том что	4	4
91	во всей	3	4
92	а в	3	4
93	в каком	2	4
94	в чем	2	4
95	лишь как	2	3
96	в свою	2	3
97	до конца	4	3
98	нет в	2	3
99	этого мира	4	3
100	в виду	3	3
101	себе и	3	3
102	был бы	3	3
103	здесь нет	3	3
104	того что	2	3
105	рядом с	2	3
106	и на	8	3
107	в ней	4	3
108	в то	9	3
109	отсюда и	2	3
110	ее целом	2	3
111	мы не	3	3
112	всех этих	5	3
113	тогда когда	2	3
114	ясно что	2	3
115	но конечно	2	3
116	еще не	5	3
117	нет и	2	3
118	быть и	2	3
119	эти моменты	3	3
120	для того	5	3
121	что не	3	3
122	тем что	2	3
123	вступает в	2	3
124	могут быть	5	3
125	здесь не	4	3
126	ничего не	9	3
127	и принципиально	2	2
128	и время	2	2
129	его и	2	2
130	прежде всего	15	2
131	вследствие этого	3	2
132	вопрос о	2	2
133	или иной	2	2
134	было и	4	2
135	и как	10	2
136	соответствии с	2	2
137	совсем не	2	2
138	же время	9	2
139	но для	2	2
140	не о	2	2
141	себя и	3	2
142	его жизни	8	2
143	выход из	2	2
144	по себе	2	2
145	нем не	3	2
146	и других	3	2
147	потому что	4	2
148	к себе	4	2
149	той или	2	2
150	подхода к	3	2
151	пространства и	4	2
152	ни к	3	2
153	а как	3	2
154	с его	9	2
155	и то	4	2
156	с тем	3	2
157	из нее	2	2
158	раз и	2	2
159	в жизни	6	2
160	к этому	3	2
161	и того	6	2
162	в соответствии	2	2
163	и видения	3	2
164	в качестве	3	2
165	есть именно	2	2
166	и может	2	2
167	со всеми	3	2
168	в это	2	2
169	этом мире	2	2
170	и потому	3	2
171	жизни но	5	2
172	оно не	2	2
173	в процессе	4	2
174	так и	12	2
175	как в	6	2
176	еще более	3	2
177	того чтобы	5	2
178	и эта	2	2
179	жизнь и	4	2
180	в данном	2	2
181	человек и	2	2
182	от этого	2	2
183	всей его	2	2
184	единства и	2	2
185	видения и	2	2
186	его на	2	2
187	как оно	2	2
188	дело в	2	2
189	или как	4	2
190	дан в	2	2
191	место и	3	2
