N	2gram	Bakhtin_KF_1	Analitik
1	в этом	14	18
2	и в	24	16
3	не только	5	16
4	так и	2	15
5	как и	5	14
6	в том	6	12
7	но и	9	12
8	и не	26	12
9	том что	4	12
10	в качестве	2	11
11	могут быть	3	10
12	как бы	9	10
13	при этом	4	10
14	а не	17	10
15	лишь в	8	9
16	в этой	2	9
17	ничего не	3	9
18	в данном	2	8
19	отнюдь не	6	8
20	в целом	10	8
21	в себе	21	7
22	то что	7	7
23	о том	3	7
24	в мире	6	6
25	и на	3	6
26	говорить о	2	6
27	может быть	45	6
28	но в	5	6
29	в контексте	5	5
30	не менее	3	4
31	в своем	16	4
32	уже не	7	4
33	не в	12	4
34	но не	12	4
35	тем самым	4	4
36	для него	8	4
37	и тем	3	4
38	отношению к	22	4
39	во всех	11	4
40	как в	2	4
41	все это	10	4
42	по отношению	26	4
43	не может	27	4
44	и его	17	4
45	то же	5	4
46	точки зрения	12	4
47	только в	16	4
48	в сознании	2	4
49	в себя	7	4
50	место в	5	3
51	никогда не	5	3
52	прежде всего	2	3
53	или иного	3	3
54	или иной	2	3
55	этого слова	2	3
56	ему в	2	3
57	тем не	2	3
58	было бы	8	3
59	мы имеем	5	3
60	и за	2	3
61	той или	3	3
62	что и	7	3
63	со стороны	7	3
64	в их	8	3
65	если бы	8	3
66	не знает	5	3
67	именно в	5	3
68	того или	3	3
69	а в	4	3
70	с ними	3	3
71	и то	2	3
72	тем что	3	3
73	сводится к	2	3
74	и т.д	2	3
75	едва ли	2	3
76	я и	2	3
77	и все	7	3
78	а как	2	2
79	вступает в	3	2
80	того что	3	2
81	в одном	4	2
82	этом смысле	3	2
83	к этому	2	2
84	вовсе не	7	2
85	вследствие этого	2	2
86	и я	5	2
87	по себе	2	2
88	момент его	8	2
89	его как	5	2
90	в соответствии	2	2
91	из его	3	2
92	соответствии с	2	2
93	же время	2	2
94	что в	4	2
95	имеют место	2	2
96	еще не	4	2
97	в своей	10	2
98	не о	2	2
99	я его	2	2
100	в котором	24	2
101	для нее	7	2
102	один из	2	2
103	это было	2	2
104	не есть	20	2
105	с ее	2	2
106	себя в	8	2
107	и их	6	2
108	дело не	2	2
109	еще более	2	2
110	но эта	5	2
111	не имеет	5	2
112	и для	9	2
113	с точки	9	2
114	на основе	7	2
115	смысловой значимости	2	2
116	между тем	4	2
117	он не	6	2
118	он и	2	2
119	это только	2	2
120	в то	3	2
121	в его	40	2
122	жизни но	3	2
123	его в	5	2
124	с ним	5	2
