N	2gram	Trubetskoy_1	VLabPisa
1	таким образом	31	27
2	в этом	12	26
3	и в	23	25
4	не только	7	22
5	может быть	16	21
6	хотя бы	4	20
7	и не	8	19
8	не может	17	17
9	в его	5	15
10	в процессе	2	14
11	прежде всего	3	13
12	в том	30	13
13	в частности	2	12
14	все это	11	12
15	с другой	6	11
16	в силу	7	11
17	из них	5	11
18	не могут	4	10
19	представляет собою	2	10
20	о том	7	10
21	по этому	2	9
22	к этому	5	9
23	что в	8	9
24	для него	2	9
25	но и	9	9
26	то же	4	9
27	все эти	19	8
28	в своем	10	8
29	другой стороны	5	8
30	ни один	3	8
31	из этих	8	7
32	как и	9	7
33	том что	19	7
34	было бы	3	7
35	отношению к	9	7
36	во всех	10	7
37	вместе с	6	7
38	по отношению	9	7
39	не было	2	7
40	у него	5	6
41	это не	3	6
42	в себе	5	6
43	то что	18	6
44	более или	7	6
45	том же	4	6
46	в нем	3	6
47	так и	10	6
48	или менее	7	6
49	их в	2	6
50	между тем	12	6
51	в то	6	6
52	в результате	9	5
53	тому что	2	5
54	же время	2	5
55	все же	13	5
56	и при	6	5
57	очевидно что	3	5
58	связи с	4	5
59	одним из	4	5
60	как бы	10	5
61	в их	4	5
62	только в	6	5
63	не в	8	5
64	к тому	8	4
65	никогда не	4	4
66	в целом	5	4
67	что все	5	4
68	что он	7	4
69	одна из	2	4
70	в самом	8	4
71	даже в	3	4
72	в них	2	4
73	в связи	3	4
74	показывают что	2	4
75	с ними	2	4
76	в этой	6	4
77	и к	5	3
78	всех этих	4	3
79	и ее	2	3
80	с тем	2	3
81	и от	5	3
82	в конце	4	3
83	только что	3	3
84	мы знаем	10	3
85	у нас	3	3
86	по существу	6	3
87	мы видели	2	3
88	что они	2	3
89	но как	2	3
90	с этим	11	3
91	сил и	2	3
92	далеко не	5	3
93	в виду	2	3
94	в котором	2	3
95	его в	5	3
96	что и	7	3
97	жизни и	2	3
98	него в	2	3
99	и их	5	3
100	всех других	2	3
101	именно в	5	3
102	образом в	3	3
103	этот вопрос	2	3
104	этой области	4	3
105	сводится к	2	3
106	того что	6	3
107	и по	3	3
108	так же	8	3
109	в которых	2	3
110	как на	4	3
111	точки зрения	13	3
112	она не	2	3
113	бы в	3	3
114	не менее	7	2
115	на вопрос	4	2
116	разобраться в	2	2
117	с более	3	2
118	только не	2	2
119	можно ли	2	2
120	из себя	10	2
121	но даже	3	2
122	отличается от	6	2
123	не подлежит	3	2
124	что многие	2	2
125	в жизни	3	2
126	вовсе не	2	2
127	что при	6	2
128	что его	4	2
129	а затем	2	2
130	до сих	8	2
131	и потому	3	2
132	но не	2	2
133	но для	2	2
134	представления об	2	2
135	как у	3	2
136	как известно	3	2
137	в пользу	5	2
138	по одному	3	2
139	еще не	5	2
140	одной стороны	2	2
141	и может	3	2
142	для того	8	2
143	в общем	6	2
144	если бы	8	2
145	том чтобы	2	2
146	к ним	2	2
147	в ней	3	2
148	конце концов	4	2
149	не вполне	3	2
150	всяком случае	2	2
151	отнюдь не	2	2
152	что для	4	2
153	при помощи	3	2
154	только то	2	2
155	многие из	5	2
156	сих пор	8	2
157	все они	5	2
158	этот процесс	2	2
159	от того	3	2
160	между прочим	2	2
161	может не	3	2
162	а в	3	2
163	с одной	3	2
164	эти примеры	2	2
165	что оно	3	2
166	они должны	3	2
167	в течение	4	2
168	но с	2	2
169	и некоторые	2	2
170	заключается в	2	2
171	того чтобы	8	2
172	из которых	4	2
173	должны быть	3	2
174	между ними	2	2
175	и для	6	2
176	по его	2	2
177	у них	6	2
178	между собою	5	2
179	в своих	2	2
180	также и	2	2
181	во всяком	2	2
182	хотя и	4	2
183	лишь в	5	2
184	знаем что	8	2
185	он не	3	2
186	они не	2	2
187	говорить о	2	2
188	в другом	2	2
189	самого себя	4	2
190	ту же	2	2
191	что мы	4	2
192	в которой	5	2
193	в области	4	2
194	же как	3	2
195	тогда когда	3	2
196	в сознании	6	2
197	но в	4	2
198	а для	2	2
